user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,"716,675,463,859,255,852,492,662,66,844","117,165,155,33,36,156,127,130,129,21",531
5784,"463,105,540,859,852,492,66,118,880,547","155,284,54,33,156,127,129,114,146,155",490
5424,"463,105,859,852,492,66,737,118,880,526","155,284,33,156,127,129,137,114,146,63",535
5481,"386,463,859,852,118,880,261,233,740,736","44,155,33,156,114,146,153,3,36,155",553
4511,"716,463,386,859,852,492,737,261,547,740","117,155,44,33,156,127,137,153,155,36",612
5430,"463,675,74,359,255,844,34,187,877,76","155,165,44,267,36,21,156,33,202,36",546
2873,"463,105,255,662,844,51,34,795,540,859","155,284,36,130,21,117,156,156,54,33",477
1235,"463,74,105,675,359,859,852,255,737,118","155,44,284,165,267,33,156,36,137,114",494
4355,"386,633,232,359,871,140,92,38,665,754","44,163,267,267,269,176,148,114,164,155",586
3184,"463,675,255,844,51,34,311,38,877,834","155,165,36,21,117,156,155,114,202,36",535
2179,"716,675,255,844,34,311,494,76,145,326","117,165,36,21,156,155,148,36,156,146",352
3210,"463,97,255,662,51,34,311,877,834,171","155,39,36,130,117,156,155,202,36,128",544
4486,"463,105,255,662,844,51,34,850,38,877","155,284,36,130,21,117,156,36,114,202",519
633,"463,255,844,51,277,34,333,795,859,852","155,36,21,117,220,156,163,156,33,156",508
1430,"716,74,255,662,277,595,877,754,145,224","117,44,36,130,220,60,202,155,156,61",412
1133,"463,859,852,118,261,596,547,233,740,830","155,33,156,114,153,3,155,3,36,148",361
5148,"716,463,105,540,859,852,97,359,255,662","117,155,284,54,33,156,39,267,36,130",556
64,"716,463,97,255,662,844,105,859,852,737","117,155,39,36,130,21,284,33,156,137",494
5501,"716,675,97,255,277,311,494,38,834,754","117,165,39,36,220,155,148,114,36,155",463
1584,"463,105,859,852,118,880,261,547,233,736","155,284,33,156,114,146,153,155,3,155",413
3104,"318,463,633,852,861,340,141,102,198,261","172,155,163,156,135,181,165,163,148,153",363
729,"463,859,852,255,118,844,261,596,547,233","155,33,156,36,114,21,153,3,155,3",346
4554,"386,705,675,871,277,595,877,834,754,720","44,44,165,269,220,60,202,36,155,54",569
2626,"463,74,105,540,852,492,859,66,737,118","155,44,284,54,156,127,33,129,137,114",628
2261,"716,463,859,852,66,880,547,830,370,196","117,155,33,156,129,146,155,148,195,114",641
5528,"386,705,675,232,871,51,92,187,877,834","44,44,165,267,269,117,148,33,202,36",553
5711,"386,705,232,871,51,34,311,38,552,834","44,44,267,269,117,156,155,114,63,36",553
2466,"716,675,255,844,51,311,494,76,525,934","117,165,36,21,117,155,148,36,3,21",375
145,"716,463,105,540,859,852,492,66,118,261","117,155,284,54,33,156,127,129,114,153",500
5860,"463,675,255,844,51,34,795,92,850,311","155,165,36,21,117,156,156,148,36,155",354
5493,"463,97,105,255,662,844,51,277,34,333","155,39,284,36,130,21,117,220,156,163",544
3202,"716,463,74,540,859,852,492,737,118,198","117,155,44,54,33,156,127,137,114,148",669
541,"463,675,359,255,662,844,51,277,34,92","155,165,267,36,130,21,117,220,156,148",528
2883,"463,35,864,852,861,141,880,747,233,740","155,163,163,156,135,165,146,164,3,36",389
1595,"386,705,255,844,51,277,34,463,105,859","44,44,36,21,117,220,156,155,284,33",500
4837,"463,105,859,852,66,880,547,830,370,767","155,284,33,156,129,146,155,148,195,148",464
5610,"386,705,675,463,74,540,66,756,118,880","44,44,165,155,44,54,129,58,114,146",653
66,"386,463,105,540,852,492,66,737,756,118","44,155,284,54,156,127,129,137,58,114",653
5436,"463,105,540,852,66,880,526,233,69,370","155,284,54,156,129,146,63,3,3,195",547
2737,"463,105,255,859,852,492,66,118,547,740","155,284,36,33,156,127,129,114,155,36",535
573,"463,105,255,662,51,34,92,850,595,795","155,284,36,130,117,156,148,36,60,156",547
1670,"463,675,232,97,359,255,156,277,795,92","155,165,267,39,267,36,44,220,156,148",644
5744,"386,705,675,232,359,255,156,51,277,34","44,44,165,267,267,36,44,117,220,156",586
1223,"463,859,852,255,844,118,51,880,261,596","155,33,156,36,21,114,117,146,153,3",400
376,"105,859,852,492,66,118,261,233,830,300","284,33,156,127,129,114,153,3,148,153",412
2837,"716,463,97,871,277,311,877,76,145,298","117,155,39,269,220,155,202,36,156,126",538
2931,"716,463,859,852,141,198,233,830,370,196","117,155,33,156,165,148,3,148,195,114",461
1374,"386,705,232,871,277,311,877,76,145,934","44,44,267,269,220,155,202,36,156,21",553
2938,"463,675,859,852,492,66,737,880,233,736","155,165,33,156,127,129,137,146,3,155",535
1563,"463,105,255,662,277,311,877,76,145,298","155,284,36,130,220,155,202,36,156,126",519
3981,"463,105,859,852,492,66,255,118,662,844","155,284,33,156,127,129,36,114,130,21",520
1993,"463,675,105,540,859,852,66,118,547,830","155,165,284,54,33,156,129,114,155,148",540
4228,"716,463,105,859,852,492,66,97,255,844","117,155,284,33,156,127,129,39,36,21",549
934,"386,463,105,852,492,66,737,540,880,261","44,155,284,156,127,129,137,54,146,153",577
449,"716,463,97,662,277,92,311,187,38,494","117,155,39,130,220,148,155,33,114,148",541
944,"463,105,255,844,34,311,494,76,145,298","155,284,36,21,156,155,148,36,156,126",447
3243,"386,705,232,871,277,311,877,76,145,934","44,44,267,269,220,155,202,36,156,21",553
889,"463,105,540,859,852,492,66,255,662,737","155,284,54,33,156,127,129,36,130,137",519
3540,"463,105,540,859,852,492,66,737,118,880","155,284,54,33,156,127,129,137,114,146",553
2861,"716,463,255,844,51,92,850,187,494,76","117,155,36,21,117,148,36,33,148,36",412
4748,"463,74,359,255,871,844,51,34,795,311","155,44,267,36,269,21,117,156,156,155",521
3532,"463,359,255,662,277,92,311,38,877,834","155,267,36,130,220,148,155,114,202,36",528
1764,"716,675,97,662,277,311,494,877,76,171","117,165,39,130,220,155,148,202,36,128",541
1614,"463,74,97,871,277,92,311,187,38,877","155,44,39,269,220,148,155,33,114,202",571
5452,"463,105,540,859,852,492,66,737,118,526","155,284,54,33,156,127,129,137,114,63",519
5139,"716,675,97,255,34,311,494,76,145,298","117,165,39,36,156,155,148,36,156,126",472
2840,"463,675,859,852,118,255,844,51,34,795","155,165,33,156,114,36,21,117,156,156",355
2905,"716,463,74,386,540,492,66,118,880,261","117,155,44,44,54,127,129,114,146,153",628
1538,"463,675,97,51,277,311,494,834,754,145","155,165,39,117,220,155,148,36,155,156",494
681,"463,105,675,859,255,852,492,66,118,880","155,284,165,33,36,156,127,129,114,146",514
2101,"463,74,359,255,871,844,51,105,540,277","155,44,267,36,269,21,117,284,54,220",574
5250,"463,675,51,34,795,92,850,311,187,859","155,165,117,156,156,148,36,155,33,33",338
2710,"463,859,852,492,66,880,547,830,300,289","155,33,156,127,129,146,155,148,153,146",520
3446,"463,105,255,540,859,662,844,51,852,492","155,284,36,54,33,130,21,117,156,127",519
1057,"716,463,105,540,859,852,492,66,118,526","117,155,284,54,33,156,127,129,114,63",543
671,"463,105,852,492,66,261,526,233,69,370","155,284,156,127,129,153,63,3,3,195",460
185,"386,35,705,946,232,156,140,649,277,34","44,163,44,174,267,44,176,173,220,156",720
622,"463,105,540,859,255,852,492,66,118,844","155,284,54,33,36,156,127,129,114,21",535
2367,"463,859,852,255,118,844,880,261,596,547","155,33,156,36,114,21,146,153,3,155",398
717,"716,386,675,662,277,595,877,151,620,224","117,44,165,130,220,60,202,60,63,60,61",461
5110,"716,463,859,852,118,261,547,830,370,196","117,155,33,156,114,153,155,148,195,114",349
2548,"463,852,51,34,261,547,92,830,736,311","155,156,117,156,153,155,148,148,155,155",228
5210,"463,105,255,662,844,51,34,187,877,834","155,284,36,130,21,117,156,33,202,36",523
2654,"716,463,105,859,852,492,118,97,880,261","117,155,284,33,156,127,114,39,146,153",541
5074,"386,705,232,871,277,311,877,76,145,228","44,44,267,269,220,155,202,36,156,269",553
4457,"716,463,74,478,852,492,66,756,118,880","117,155,44,135,156,127,129,58,114,146",690
1462,"463,97,255,662,277,92,311,187,38,877","155,39,36,130,220,148,155,33,114,202",554
1213,"716,463,386,705,232,359,156,51,844,871","117,155,44,44,267,267,44,117,21,269",644
1760,"463,74,105,540,859,492,66,880,233,736","155,44,284,54,33,127,129,146,3,155",600
1298,"463,105,255,844,34,92,311,187,850,38","155,284,36,21,156,148,155,33,36,114",430
2094,"74,105,540,852,66,118,261,233,830,370","44,284,54,156,129,114,153,3,148,195",537
3549,"716,463,74,852,492,66,261,526,233,740","117,155,44,156,127,129,153,63,3,36",633
5694,"386,463,74,852,66,880,547,830,370,47","44,155,44,156,129,146,155,148,195,127",606
112,"716,386,633,318,463,705,675,232,97,359","117,44,163,172,155,44,165,267,39,267",749
3791,"716,463,105,852,66,118,880,547,689,736","117,155,284,156,129,114,146,155,128,155",639
1269,"463,105,255,662,51,34,311,38,877,834","155,284,36,130,117,156,155,114,202,36",476
