user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,"736,852,547,626,300,740,898,118,526,233","155,156,155,164,153,36,39,114,63,3",531
5784,"736,852,264,547,626,300,740,898,790,261","155,156,220,155,164,153,36,39,148,153",490
5424,"736,852,300,898,261,502,880,596,790,370","155,156,153,39,153,36,146,3,148,195",535
5481,"736,852,626,547,300,740,898,790,261,502","155,156,164,155,153,36,39,148,153,36",553
4511,"736,852,300,740,898,582,261,502,547,596","155,156,153,36,39,63,153,36,155,3",612
5430,"736,852,264,547,300,740,125,118,526,233","155,156,220,155,153,36,54,114,63,3",546
2873,"736,852,264,547,626,125,118,526,233,492","155,156,220,155,164,54,114,63,3,127",477
1235,"736,852,264,547,300,740,898,790,261,502","155,156,220,155,153,36,39,148,153,36",494
4355,"736,852,626,547,300,740,898,118,526,233","155,156,164,155,153,36,39,114,63,3",586
3184,"736,852,300,740,898,790,596,830,289,83","155,156,153,36,39,148,3,148,146,126",535
2179,"736,852,547,300,740,898,118,233,170,255","155,156,155,153,36,39,114,3,39,36",352
3210,"736,852,264,547,300,125,118,526,233,492","155,156,220,155,153,54,114,63,3,127",544
4486,"736,852,300,740,264,898,547,790,502,596","155,156,153,36,220,39,155,148,36,3",519
633,"736,852,300,898,880,370,69,830,289,816","155,156,153,39,146,195,3,148,146,164",508
1430,"626,898,790,261,502,596,526,578,492,170","164,39,148,153,36,3,63,163,127,39",412
1133,"736,852,300,740,898,790,596,830,289,129","155,156,153,36,39,148,3,148,146,165",361
5148,"736,852,300,898,502,370,196,106,83,514","155,156,153,39,36,195,114,128,126,219",556
64,"736,852,300,898,880,370,69,830,196,289","155,156,153,39,146,195,3,148,114,146",494
5501,"736,852,300,898,261,502,790,596,370,740","155,156,153,39,153,36,148,3,195,36",463
1584,"736,852,264,626,300,740,898,261,880,370","155,156,220,164,153,36,39,153,146,195",413
3104,"736,852,261,198,502,633,596,370,830,289","155,156,153,148,36,163,3,195,148,146",363
729,"736,852,300,740,898,261,502,547,596,370","155,156,153,36,39,153,36,155,3,195",346
4554,"736,852,547,626,300,118,526,233,492,255","155,156,155,164,153,114,63,3,127,36",569
2626,"736,852,264,547,125,118,526,233,492,255","155,156,220,155,54,114,63,3,127,36",628
2261,"736,852,300,898,261,596,370,840,289,83","155,156,153,39,153,3,195,163,146,126",641
5528,"736,852,547,300,740,898,118,526,233,492","155,156,155,153,36,39,114,63,3,127",553
