user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"882,642,291,24,668,385,584,922,782,249","156,195,21,156,42,39,117,154,117,195",251
3507,"623,291,385,642,412,69,335,85,880,169","155,21,39,195,284,3,195,56,146,164",531
4932,"872,331,642,412,305,750,438,668,24,896","267,54,195,284,54,219,3,42,156,165",471
5784,"623,344,882,750,105,523,642,508,362,636","155,163,156,219,284,21,195,219,219,56",490
5424,"344,90,880,882,169,335,423,218,750,636","163,36,146,156,164,195,156,56,219,56",535
5481,"872,344,331,386,90,85,31,417,882,414","267,163,54,44,36,56,156,165,156,267",553
4511,"543,872,256,372,51,520,750,711,386,584","60,267,137,155,117,127,219,129,44,117",612
5430,"344,750,882,105,711,24,63,668,423,414","163,219,156,284,129,156,269,42,156,267",546
2873,"623,344,85,642,105,668,776,69,24,611","155,163,56,195,284,42,267,3,156,39",477
1235,"344,90,85,24,31,265,882,414,362,423","163,36,56,156,156,128,156,267,219,156",494
4355,"872,344,331,305,85,386,642,665,664,155","267,163,54,54,56,44,195,164,128,284",586
3184,"623,750,412,711,734,30,636,105,922,805","155,219,284,129,137,21,56,284,154,164",535
2179,"623,344,90,24,882,438,31,335,145,416","155,163,36,156,156,3,156,195,156,36",352
3210,"344,90,85,105,711,734,438,335,362,625","163,36,56,284,129,137,3,195,219,126",544
3735,"882,85,642,105,927,711,256,734,664,145","156,56,195,284,284,129,137,137,128,156",289
4486,"344,372,90,85,24,417,520,38,256,95","163,155,36,56,156,165,127,114,137,137",519
574,"344,90,85,711,642,412,750,664,438,291","163,36,56,129,195,284,219,128,3,21",483
633,"623,344,90,882,880,642,51,438,636,169","155,163,36,156,146,195,117,3,56,164",508
1133,"623,344,642,922,284,882,37,184,424,417","155,163,195,154,165,156,151,36,130,165",361
5148,"344,750,291,711,51,772,335,412,385,65","163,219,21,129,117,126,195,284,39,163",556
64,"872,344,372,90,882,523,922,291,169,642","267,163,155,36,156,21,154,21,164,195",494
5501,"344,372,90,24,291,750,118,882,508,642","163,155,36,156,21,219,114,156,219,195",463
1584,"344,880,882,24,165,105,523,642,922,51","163,146,156,156,164,284,21,195,154,117",413
729,"344,882,372,642,438,24,624,523,922,627","163,156,155,195,3,156,148,21,154,148",346
3759,"344,90,385,362,750,882,256,24,249,734","163,36,39,219,219,156,137,156,195,137",437
3009,"344,291,882,438,711,105,664,880,624,871","163,21,156,3,129,284,128,146,148,269",516
4554,"872,344,750,882,880,642,412,289,922,627","267,163,219,156,146,195,284,146,154,148",569
2626,"344,331,642,882,520,305,256,24,508,90","163,54,195,156,127,54,137,156,219,36",628
2261,"543,872,882,750,230,711,24,85,291,51","60,267,156,219,114,129,156,56,21,117",641
3610,"872,344,372,85,305,882,636,331,424,420","267,163,155,56,54,156,56,54,130,153",600
5528,"872,344,372,331,305,882,85,750,145,423","267,163,155,54,54,156,56,219,156,156",553
