user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"852,850,844,38,859,795,638,300,834,916","156,36,21,114,33,156,154,153,36,117",251
3507,"852,69,850,526,770,859,795,277,333,55","156,3,36,63,129,33,156,220,163,146",531
4932,"398,852,850,526,877,38,859,795,277,806","270,156,36,63,202,114,33,156,220,128",471
5784,"852,69,850,626,319,790,740,885,298,540","156,3,36,164,195,148,36,39,126,54",490
5424,"852,319,69,790,740,145,885,298,289,118","156,195,3,148,36,156,39,126,146,114",535
5481,"398,852,319,790,705,740,145,489,69,850","270,156,195,148,44,36,156,269,3,36",553
4511,"398,852,319,311,582,705,145,885,816,898","270,156,195,155,63,44,156,39,164,39",612
5430,"852,69,850,526,871,859,795,806,834,600","156,3,36,63,269,33,156,128,36,56",546
2873,"852,319,69,790,311,850,626,662,877,38","156,195,3,148,155,36,164,130,202,114",477
1235,"852,319,69,790,740,145,489,885,816,898","156,195,3,148,36,156,269,39,164,39",494
4355,"398,852,69,850,662,844,877,871,859,890","270,156,3,36,130,21,202,269,33,164",586
3184,"852,69,850,626,233,844,526,877,770,319","156,3,36,164,3,21,63,202,129,195",535
2179,"852,319,69,850,626,233,844,38,859,890","156,195,3,36,164,3,21,114,33,164",352
3210,"852,319,69,850,626,844,770,859,890,638","156,195,3,36,164,21,129,33,164,154",544
3735,"852,463,319,850,844,311,770,145,795,638","156,155,195,36,21,155,129,156,156,154",289
4486,"852,69,850,626,233,662,844,877,770,38","156,3,36,164,3,130,21,202,129,114",519
574,"852,69,850,526,877,38,859,795,678,34","156,3,36,63,202,114,33,156,155,156",483
633,"852,463,319,790,311,740,145,885,816,675","156,155,195,148,155,36,156,39,164,165",508
1133,"852,69,850,463,319,790,145,289,898,51","156,3,36,155,195,148,156,146,39,117",361
5148,"852,319,69,790,311,740,885,298,716,76","156,195,3,148,155,36,39,126,117,36",556
64,"398,463,852,319,790,740,145,885,97,118","270,155,156,195,148,36,156,39,39,114",494
5501,"852,319,69,850,626,844,38,859,795,678","156,195,3,36,164,21,114,33,156,155",463
1584,"852,319,790,740,885,289,898,642,830,880","156,195,148,36,39,146,39,195,148,146",413
729,"852,319,69,311,740,145,885,289,816,118","156,195,3,155,36,156,39,146,164,114",346
3759,"852,69,850,844,38,859,795,806,834,916","156,3,36,21,114,33,156,128,36,117",437
3009,"852,69,850,510,662,233,844,526,319,790","156,3,36,125,130,3,21,63,195,148",516
4554,"398,852,850,526,877,871,38,859,890,638","270,156,36,63,202,269,114,33,164,154",569
2626,"852,69,850,626,233,662,844,877,871,38","156,3,36,164,3,130,21,202,269,114",628
2261,"398,463,319,790,582,145,232,816,330,898","270,155,195,148,63,156,267,164,300,39",641
3610,"398,852,319,69,850,790,705,740,489,232","270,156,195,3,36,148,44,36,269,267",600
5528,"398,852,69,850,662,877,38,859,795,806","270,156,3,36,130,202,114,33,156,128",553
5711,"398,852,850,526,877,38,859,890,795,638","270,156,36,63,202,114,33,164,156,154",553
2930,"852,850,463,844,770,38,319,859,740,145","156,36,155,21,129,114,195,33,36,156",293
145,"852,69,850,626,233,662,844,526,770,38","156,3,36,164,3,130,21,63,129,114",500
5860,"852,319,790,740,885,289,898,51,642,596","156,195,148,36,39,146,39,117,195,3",354
5493,"852,319,790,740,885,298,118,540,261,513","156,195,148,36,39,126,114,54,153,148",544
1509,"398,698,850,662,877,544,220,359,795,692","270,176,36,130,202,174,181,267,156,176",594
