user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"2,6,11,18,24,27,29,30,31,34","3,156,148,156,156,156,175,156,21,156,156",251
3507,"0,2,4,6,8,10,11,14,16,18","189,3,156,56,148,163,202,156,137,164,156",531
4932,"2,6,8,10,11,14,16,18,19,23","3,156,148,163,202,156,137,164,156,3,125",471
5784,"0,2,4,6,8,11,12,13,14,16","189,3,156,56,148,163,156,284,44,137,164",490
5424,"0,2,4,6,8,10,11,12,14,16","189,3,156,56,148,163,202,156,284,137,164",535
5481,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",553
4511,"0,2,6,8,10,11,14,16,17,18","189,3,156,148,163,202,156,137,164,60,156",612
5430,"0,2,4,5,6,8,9,736,10,11","189,3,156,56,44,148,163,44,155,202,156",546
2873,"0,2,4,6,8,10,11,12,13,16","189,3,156,56,148,163,202,156,284,44,164",477
1235,"0,2,5,6,8,9,11,12,16,18","189,3,156,44,148,163,44,156,284,164,156",494
4355,"0,2,6,8,10,11,754,14,16,463","189,3,156,148,163,202,156,155,137,164,155",586
3184,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",535
2179,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",352
3210,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",544
3735,"2,4,6,11,12,18,20,24,27,29","3,156,56,148,156,284,156,219,156,175,156",289
4486,"0,2,4,6,8,10,11,12,736,13","189,3,156,56,148,163,202,156,284,155,44",519
574,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",483
633,"0,2,4,6,8,10,11,14,16,18","189,3,156,56,148,163,202,156,137,164,156",508
1133,"0,2,6,8,11,736,14,16,18,19","189,3,156,148,163,156,155,137,164,156,3",361
5148,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",556
64,"0,2,6,8,10,11,12,14,16,18","189,3,156,148,163,202,156,284,137,164,156",494
5501,"0,2,6,8,11,14,16,18,19,22","189,3,156,148,163,156,137,164,156,3,189",463
1584,"0,2,6,8,11,736,12,16,18,19","189,3,156,148,163,156,155,284,164,156,3",413
729,"0,2,6,8,11,14,16,18,19,22","189,3,156,148,163,156,137,164,156,3,189",346
3759,"0,2,6,8,11,754,14,16,18,19","189,3,156,148,163,156,155,137,164,156,3",437
3009,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",516
4554,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",569
2626,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",628
2261,"0,2,4,6,8,10,11,14,16,17","189,3,156,56,148,163,202,156,137,164,60",641
3610,"0,2,4,5,8,9,10,11,12,13","189,3,156,56,44,163,44,202,156,284,44",600
5528,"0,2,6,8,10,11,14,16,18,754","189,3,156,148,163,202,156,137,164,156,155",553
5711,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",553
2930,"2,4,6,11,12,18,20,24,754,27","3,156,56,148,156,284,156,219,156,155,175",293
145,"0,2,4,6,8,11,12,13,14,16","189,3,156,56,148,163,156,284,44,137,164",500
5860,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",354
5493,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",544
1509,"6,8,10,11,14,16,18,19,21,23","148,163,202,156,137,164,156,3,169,125",594
3202,"0,2,5,8,9,10,11,13,14,16","189,3,156,44,163,44,202,156,44,137,164",669
541,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",528
1595,"0,2,4,6,8,10,11,12,14,16","189,3,156,56,148,163,202,156,284,137,164",500
4837,"0,2,4,6,8,11,12,14,16,18","189,3,156,56,148,163,156,284,137,164,156",464
5610,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",653
66,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",653
4215,"2,4,6,8,10,11,12,14,16,18","3,156,56,148,163,202,156,284,137,164,156",415
5436,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",547
2737,"0,2,4,6,8,10,11,12,14,16","189,3,156,56,148,163,202,156,284,137,164",535
573,"0,2,4,6,8,10,11,12,13,16","189,3,156,56,148,163,202,156,284,44,164",547
1670,"0,2,4,5,6,8,9,10,11,13","189,3,156,56,44,148,163,44,202,156,44",644
5744,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",586
1223,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",400
2837,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",538
5167,"0,2,4,6,10,11,12,13,14,18","189,3,156,56,148,202,156,284,44,137,156",557
1374,"0,2,6,8,10,736,11,14,16,18","189,3,156,148,163,202,155,156,137,164,156",553
2938,"0,2,4,6,8,10,11,14,16,18","189,3,156,56,148,163,202,156,137,164,156",535
4883,"2,6,8,10,11,14,16,17,18,19","3,156,148,163,202,156,137,164,60,156,3",531
1715,"2,4,6,11,12,14,18,20,24,27","3,156,56,148,156,284,137,156,219,156,175",378
1563,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",519
3981,"0,2,4,6,8,11,12,14,16,18","189,3,156,56,148,163,156,284,137,164,156",520
1993,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",540
4228,"0,2,4,6,8,11,12,14,754,16","189,3,156,56,148,163,156,284,137,155,164",549
3557,"2,4,6,11,12,736,18,20,24,27","3,156,56,148,156,284,155,156,219,156,175",304
449,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",541
944,"0,2,4,6,8,754,11,12,16,311","189,3,156,56,148,163,155,156,284,164,155",447
3243,"0,2,6,8,10,11,14,16,18,19","189,3,156,148,163,202,156,137,164,156,3",553
889,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",519
3540,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",553
4748,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",521
3532,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",528
1764,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",541
1614,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",571
5452,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",519
5139,"0,2,4,6,8,11,12,754,14,463","189,3,156,56,148,163,156,284,155,137,155",472
2840,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",355
2905,"0,2,4,5,6,8,9,10,11,13","189,3,156,56,44,148,163,44,202,156,44",628
1294,"0,2,4,6,10,11,12,14,18,19","189,3,156,56,148,202,156,284,137,156,3",570
2101,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",574
5250,"0,2,6,8,11,16,18,19,736,22","189,3,156,148,163,156,164,156,3,155,189",338
2710,"0,2,4,6,8,10,11,14,16,18","189,3,156,56,148,163,202,156,137,164,156",520
3446,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",519
1057,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",543
185,"0,2,4,5,8,9,10,11,13,14","189,3,156,56,44,163,44,202,156,44,137",720
622,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",535
2367,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",398
5110,"0,2,6,8,11,16,18,19,22,24","189,3,156,148,163,156,164,156,3,189,156",349
5210,"0,2,4,6,8,10,754,11,12,13","189,3,156,56,148,163,202,155,156,284,44",523
2654,"0,2,6,8,10,11,12,14,16,17","189,3,156,148,163,202,156,284,137,164,60",541
5074,"0,2,6,8,10,11,14,754,16,463","189,3,156,148,163,202,156,137,155,164,155",553
4457,"0,2,4,5,6,8,736,9,10,11","189,3,156,56,44,148,163,155,44,202,156",690
1462,"0,2,4,6,8,10,11,12,13,14","189,3,156,56,148,163,202,156,284,44,137",554
1213,"0,2,6,8,10,11,14,16,17,18","189,3,156,148,163,202,156,137,164,60,156",644
1506,"0,2,4,10,11,12,13,14,17,18","189,3,156,56,202,156,284,44,137,60,156",388
1010,"2,6,11,18,19,24,27,29,31,463","3,156,148,156,156,3,156,175,156,156,155",270
1760,"0,2,4,5,6,8,9,10,11,12","189,3,156,56,44,148,163,44,202,156,284",600
1298,"0,2,6,8,11,12,736,16,18,19","189,3,156,148,163,156,284,155,164,156,3",430
