user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,"0,2,3,4,6,10,11,14,18,19","189,3,156,155,56,148,202,156,137,156,3",531
5784,"0,2,3,4,6,11,12,13,14,18","189,3,156,155,56,148,156,284,44,137,156",490
5424,"0,2,3,4,6,10,11,12,14,18","189,3,156,155,56,148,202,156,284,137,156",535
5481,"0,2,3,6,10,11,14,18,19,22","189,3,156,155,148,202,156,137,156,3,189",553
4511,"0,2,3,6,10,11,14,17,18,19","189,3,156,155,148,202,156,137,60,156,3",612
5430,"0,2,3,4,5,6,9,10,11,12","189,3,156,155,56,44,148,44,202,156,284",546
2873,"0,2,3,4,6,10,11,12,13,88","189,3,156,155,56,148,202,156,284,44,164",477
1235,"0,2,3,5,6,9,11,12,18,19","189,3,156,155,44,148,44,156,284,156,3",494
4355,"0,2,3,6,10,102,11,14,18,816","189,3,156,155,148,202,163,156,137,156,164",586
3184,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",535
2179,"0,2,3,6,11,18,19,22,24,27","189,3,156,155,148,156,156,3,189,156,175",352
3210,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",544
4486,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",519
633,"0,2,3,4,6,10,11,14,18,19","189,3,156,155,56,148,202,156,137,156,3",508
1430,"0,5,9,10,11,14,18,19,22,24","189,44,44,202,156,137,156,3,189,156",412
1133,"0,2,165,3,6,11,14,18,19,696","189,3,156,164,155,148,156,137,156,3,164",361
5148,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",556
64,"0,2,3,6,10,11,12,14,18,19","189,3,156,155,148,202,156,284,137,156,3",494
5501,"0,2,3,6,11,14,18,19,22,24","189,3,156,155,148,156,137,156,3,189,156",463
1584,"0,2,3,6,11,12,18,19,20,22","189,3,156,155,148,156,284,156,3,219,189",413
3104,"0,2,3,11,18,19,22,24,30,31","189,3,156,155,156,156,3,189,156,21,156",363
729,"0,2,3,6,11,14,18,19,88,22","189,3,156,155,148,156,137,156,3,164,189",346
4554,"0,2,165,3,6,10,11,14,18,19","189,3,156,164,155,148,202,156,137,156,3",569
2626,"0,2,3,4,5,6,9,10,11,12","189,3,156,155,56,44,148,44,202,156,284",628
2261,"0,2,3,4,6,10,11,14,17,18","189,3,156,155,56,148,202,156,137,60,156",641
5528,"0,2,3,6,10,11,14,18,19,22","189,3,156,155,148,202,156,137,156,3,189",553
5711,"0,2,3,6,10,11,14,18,19,22","189,3,156,155,148,202,156,137,156,3,189",553
2466,"0,3,6,19,22,25,26,27,29,30","189,155,148,3,189,148,153,175,156,21",375
145,"0,2,3,4,6,11,12,13,14,18","189,3,156,155,56,148,156,284,44,137,156",500
5860,"0,2,3,6,11,18,19,22,24,25","189,3,156,155,148,156,156,3,189,156,148",354
5493,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",544
3202,"0,2,165,3,5,9,10,11,747,13","189,3,156,164,155,44,44,202,156,164,44",669
541,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",528
2883,"0,2,3,6,11,18,22,24,25,141","189,3,156,155,148,156,156,189,156,148,165",389
1595,"0,2,3,4,6,10,11,12,14,18","189,3,156,155,56,148,202,156,284,137,156",500
4837,"0,2,3,4,6,11,12,14,18,19","189,3,156,155,56,148,156,284,137,156,3",464
5610,"0,2,3,4,5,6,9,10,11,12","189,3,156,155,56,44,148,44,202,156,284",653
66,"0,2,3,4,5,6,9,10,11,12","189,3,156,155,56,44,148,44,202,156,284",653
5436,"0,2,3,4,6,10,165,11,12,13","189,3,156,155,56,148,202,164,156,284,44",547
2737,"0,2,165,3,4,6,10,11,12,14","189,3,156,164,155,56,148,202,156,284,137",535
573,"0,2,3,4,6,10,11,12,13,17","189,3,156,155,56,148,202,156,284,44,60",547
1670,"0,2,165,3,4,5,6,9,10,11","189,3,156,164,155,56,44,148,44,202,156",644
5744,"0,2,3,6,10,11,14,102,18,19","189,3,156,155,148,202,156,137,163,156,3",586
1223,"0,2,3,6,11,18,19,22,24,25","189,3,156,155,148,156,156,3,189,156,148",400
376,"0,2,4,6,12,19,20,22,24,25","189,3,156,56,148,284,3,219,189,156,148",412
2837,"0,2,3,6,10,11,14,18,19,22","189,3,156,155,148,202,156,137,156,3,189",538
2931,"0,2,3,11,18,19,22,24,25,26","189,3,156,155,156,156,3,189,156,148,153",461
1374,"0,2,3,6,10,11,14,18,19,22","189,3,156,155,148,202,156,137,156,3,189",553
2938,"0,2,3,4,6,10,11,14,18,19","189,3,156,155,56,148,202,156,137,156,3",535
1563,"0,2,3,4,6,10,11,12,13,840","189,3,156,155,56,148,202,156,284,44,163",519
3981,"0,2,165,3,4,6,11,12,14,18","189,3,156,164,155,56,148,156,284,137,156",520
1993,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",540
4228,"0,2,3,4,6,11,12,14,18,19","189,3,156,155,56,148,156,284,137,156,3",549
934,"0,2,3,4,5,6,9,10,12,13","189,3,156,155,56,44,148,44,202,284,44",577
449,"0,2,3,4,6,10,11,12,13,14","189,3,156,155,56,148,202,156,284,44,137",541
