user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"740,716,852,885,51,76,840,520,844,795","36,117,156,39,117,36,163,127,21,156",251
3507,"740,716,852,885,51,626,890,520,298,662","36,117,156,39,117,164,164,127,126,130",531
4932,"740,816,221,118,232,386,934,412,502,736","36,164,60,114,267,44,21,284,36,155",471
5784,"740,816,898,118,105,934,264,261,502,513","36,164,39,114,284,21,220,153,36,148",490
5424,"740,816,852,885,675,790,898,118,51,76","36,164,156,39,165,148,39,114,117,36",535
5481,"740,816,790,221,898,118,232,852,885,675","36,164,148,60,39,114,267,156,39,165",553
4511,"740,716,816,221,196,898,754,118,232,386","36,117,164,60,114,39,155,114,267,44",612
5430,"740,816,790,125,852,675,51,76,626,840","36,164,148,54,156,165,117,36,164,163",546
2873,"740,816,125,885,51,626,890,463,298,642","36,164,54,39,117,164,164,155,126,195",477
1235,"740,816,898,118,790,852,105,934,885,264","36,164,39,114,148,156,284,21,39,220",494
4355,"740,816,852,885,675,51,121,890,35,705","36,164,156,39,165,117,176,164,163,44",586
3184,"740,816,898,118,105,934,264,289,412,830","36,164,39,114,284,21,220,146,284,148",535
2179,"740,716,852,885,675,51,626,890,840,69","36,117,156,39,165,117,164,164,163,3",352
3210,"740,816,125,885,51,626,840,298,844,877","36,164,54,39,117,164,163,126,21,202",544
3735,"852,51,76,105,934,737,840,463,520,298","156,117,36,284,21,137,163,155,127,126",289
4486,"740,816,790,898,754,118,125,852,540,885","36,164,148,39,155,114,54,156,54,39",519
574,"740,716,852,885,51,626,840,298,642,319","36,117,156,39,117,164,163,126,195,195",483
633,"740,816,852,885,675,790,898,118,51,934","36,164,156,39,165,148,39,114,117,21",508
1133,"740,816,898,118,934,289,261,502,830,736","36,164,39,114,21,146,153,36,148,155",361
5148,"740,816,196,118,105,934,264,412,502,830","36,164,114,114,284,21,220,284,36,148",556
64,"740,816,716,790,196,898,118,105,852,934","36,164,117,148,114,39,114,284,156,21",494
5501,"740,716,852,885,675,51,626,890,97,38","36,117,156,39,165,117,164,164,39,114",463
1584,"740,816,898,118,105,934,264,289,261,502","36,164,39,114,284,21,220,146,153,36",413
729,"740,816,852,885,675,51,898,118,76,626","36,164,156,39,165,117,39,114,36,164",346
3759,"740,716,852,885,51,626,840,298,844,525","36,117,156,39,117,164,163,126,21,3",437
3009,"740,816,716,196,898,790,118,125,852,105","36,164,117,114,39,148,114,54,156,284",516
4554,"740,816,790,852,885,675,76,398,840,662","36,164,148,156,39,165,36,270,163,130",569
2626,"740,816,125,852,885,51,76,626,890,69","36,164,54,156,39,117,36,164,164,3",628
2261,"740,716,816,790,852,221,196,898,754,118","36,117,164,148,156,60,114,39,155,114",641
3610,"740,816,716,790,221,196,898,125,852,540","36,164,117,148,60,114,39,54,156,54",600
5528,"740,816,852,885,675,51,76,626,398,840","36,164,156,39,165,117,36,164,270,163",553
5711,"740,816,852,885,51,398,840,298,642,319","36,164,156,39,117,270,163,126,195,195",553
2930,"740,716,852,885,51,76,840,97,520,38","36,117,156,39,117,36,163,39,127,114",293
145,"740,716,816,790,196,898,118,125,852,540","36,117,164,148,114,39,114,54,156,54",500
5860,"740,816,790,898,754,118,852,885,675,934","36,164,148,39,155,114,156,39,165,21",354
5493,"740,816,790,898,754,118,125,105,852,540","36,164,148,39,155,114,54,284,156,54",544
1509,"816,716,198,698,51,398,840,298,489,877","164,117,148,176,117,270,163,126,269,202",594
3202,"740,816,196,118,232,633,934,261,502,596","36,164,114,114,267,163,21,153,36,3",669
541,"740,816,790,898,118,125,852,105,934,264","36,164,148,39,114,54,156,284,21,220",528
1595,"740,816,898,118,386,105,934,264,289,412","36,164,39,114,44,284,21,220,146,284",500
4837,"740,816,790,852,898,118,105,934,264,289","36,164,148,156,39,114,284,21,220,146",464
5610,"740,816,221,898,118,232,790,386,105,125","36,164,60,39,114,267,148,44,284,54",653
66,"740,816,125,852,885,675,540,51,790,221","36,164,54,156,39,165,54,117,148,60",653
4215,"740,716,816,196,898,118,852,105,934,264","36,117,164,114,39,114,156,284,21,220",415
5436,"740,816,790,898,118,105,934,264,289,412","36,164,148,39,114,284,21,220,146,284",547
2737,"740,816,852,885,675,790,51,76,626,890","36,164,156,39,165,148,117,36,164,164",535
573,"740,816,898,118,105,934,264,289,261,502","36,164,39,114,284,21,220,146,153,36",547
1670,"740,816,790,221,125,898,118,852,232,540","36,164,148,60,54,39,114,156,267,54",644
5744,"740,816,790,221,102,898,118,852,885,675","36,164,148,60,163,39,114,156,39,165",586
1223,"740,816,852,885,675,790,51,76,626,890","36,164,156,39,165,148,117,36,164,164",400
2837,"740,716,852,885,51,398,840,298,844,877","36,117,156,39,117,270,163,126,21,202",538
5167,"740,716,196,118,898,105,934,264,289,502","36,117,114,114,39,284,21,220,146,36",557
1374,"740,816,221,898,118,790,852,232,885,675","36,164,60,39,114,148,156,267,39,165",553
2938,"740,816,898,118,934,289,261,412,502,830","36,164,39,114,21,146,153,284,36,148",535
4883,"740,716,816,196,852,898,118,885,675,51","36,117,164,114,156,39,114,39,165,117",531
1715,"740,716,852,885,51,76,737,840,97,311","36,117,156,39,117,36,137,163,39,155",378
1563,"740,816,125,885,51,626,840,298,844,877","36,164,54,39,117,164,163,126,21,202",519
3981,"740,816,790,898,118,852,105,885,934,264","36,164,148,39,114,156,284,39,21,220",520
1993,"740,816,898,118,105,790,934,264,289,261","36,164,39,114,284,148,21,220,146,153",540
4228,"740,716,816,790,852,196,885,675,898,51","36,117,164,148,156,114,39,165,39,117",549
3557,"852,51,76,737,840,520,298,642,844,300","156,117,36,137,163,127,126,195,21,153",304
449,"740,816,716,790,125,852,540,885,675,51","36,164,117,148,54,156,54,39,165,117",541
944,"740,816,852,885,51,626,840,298,844,525","36,164,156,39,117,164,163,126,21,3",447
3243,"740,816,790,852,885,675,221,51,76,626","36,164,148,156,39,165,60,117,36,164",553
889,"740,816,790,898,118,125,852,540,105,885","36,164,148,39,114,54,156,54,284,39",519
3540,"740,816,125,885,51,626,76,890,69,737","36,164,54,39,117,164,36,164,3,137",553
4748,"740,816,125,885,582,398,840,298,844,877","36,164,54,39,63,270,163,126,21,202",521
3532,"740,816,125,885,51,626,890,311,662,300","36,164,54,39,117,164,164,155,130,153",528
1764,"740,716,125,885,51,626,840,298,844,233","36,117,54,39,117,164,163,126,21,3",541
1614,"740,816,125,885,51,626,840,298,844,877","36,164,54,39,117,164,163,126,21,202",571
5452,"740,816,898,754,118,790,125,852,540,885","36,164,39,155,114,148,54,156,54,39",519
5139,"740,716,852,885,51,626,890,840,520,38","36,117,156,39,117,164,164,163,127,114",472
2840,"740,816,852,885,51,626,840,520,844,525","36,164,156,39,117,164,163,127,21,3",355
2905,"740,716,816,790,196,898,118,125,386,934","36,117,164,148,114,39,114,54,44,21",628
1294,"740,716,790,852,885,675,51,76,626,398","36,117,148,156,39,165,117,36,164,270",570
2101,"740,816,790,125,852,540,675,51,885,582","36,164,148,54,156,54,165,117,39,63",574
5250,"740,816,790,898,754,118,852,885,934,289","36,164,148,39,155,114,156,39,21,146",338
2710,"740,816,898,118,754,934,289,261,502,513","36,164,39,114,155,21,146,153,36,148",520
3446,"740,816,125,885,51,76,626,675,890,69","36,164,54,39,117,36,164,165,164,3",519
1057,"740,816,716,196,898,118,105,790,934,264","36,164,117,114,39,114,284,148,21,220",543
185,"740,816,221,118,937,386,232,633,934,747","36,164,60,114,168,44,267,163,21,164",720
622,"740,816,790,125,852,540,885,675,51,898","36,164,148,54,156,54,39,165,117,39",535
2367,"740,816,790,852,885,675,898,118,51,934","36,164,148,156,39,165,39,114,117,21",398
5110,"740,716,816,852,885,196,118,675,51,934","36,117,164,156,39,114,114,165,117,21",349
5210,"740,816,125,852,885,675,51,76,626,840","36,164,54,156,39,165,117,36,164,163",523
2654,"740,816,196,118,105,934,264,289,261,502","36,164,114,114,284,21,220,146,153,36",541
5074,"740,816,852,885,675,51,626,890,311,871","36,164,156,39,165,117,164,164,155,269",553
4457,"740,816,196,118,232,168,934,289,330,502","36,164,114,114,267,165,21,146,300,36",690
1462,"740,816,125,885,51,626,398,890,69,737","36,164,54,39,117,164,270,164,3,137",554
1213,"740,716,816,198,852,885,675,51,582,76","36,117,164,148,156,39,165,117,63,36",644
1506,"716,221,196,232,790,125,852,540,675,582","117,60,114,267,148,54,156,54,165,63",388
1010,"716,852,196,51,76,69,840,311,298,300","117,156,114,117,36,3,163,155,126,153",270
1760,"740,816,790,898,118,125,852,105,934,264","36,164,148,39,114,54,156,284,21,220",600
1298,"740,816,790,852,898,118,105,885,934,264","36,164,148,156,39,114,284,39,21,220",430
3549,"740,816,196,118,232,386,168,934,264,289","36,164,114,114,267,44,165,21,220,146",633
5694,"740,816,790,125,898,118,754,386,934,289","36,164,148,54,39,114,155,44,21,146",606
3791,"740,716,816,790,221,118,232,105,934,261","36,117,164,148,60,114,267,284,21,153",639
4216,"740,816,852,885,675,51,626,890,840,705","36,164,156,39,165,117,164,164,163,44",553
1837,"740,816,898,118,790,125,852,540,105,885","36,164,39,114,148,54,156,54,284,39",499
2380,"740,816,790,898,754,118,105,934,264,289","36,164,148,39,155,114,284,21,220,146",535
2786,"740,716,125,885,582,398,840,298,844,478","36,117,54,39,63,270,163,126,21,135",691
3513,"740,816,790,125,852,675,76,398,890,463","36,164,148,54,156,165,36,270,164,155",523
3166,"740,816,852,885,51,76,398,890,520,662","36,164,156,39,117,36,270,164,127,130",472
111,"740,816,898,118,754,386,105,934,264,289","36,164,39,114,155,44,284,21,220,146",598
4671,"740,816,852,885,675,51,76,626,398,890","36,164,156,39,165,117,36,164,270,164",553
1507,"740,816,125,852,540,790,885,675,898,754","36,164,54,156,54,148,39,165,39,155",634
3266,"740,816,898,118,790,125,852,540,885,76","36,164,39,114,148,54,156,54,39,36",579
3187,"740,816,852,898,118,885,675,51,934,289","36,164,156,39,114,39,165,117,21,146",374
5211,"740,716,816,790,125,852,540,51,76,626","36,117,164,148,54,156,54,117,36,164",541
2831,"740,816,125,852,540,790,885,675,898,118","36,164,54,156,54,148,39,165,39,114",513
2347,"740,816,196,898,118,386,716,852,885,675","36,164,114,39,114,44,117,156,39,165",555
5507,"740,816,125,885,51,626,840,298,844,877","36,164,54,39,117,164,163,126,21,202",519
5195,"852,51,76,105,737,934,840,264,412,520","156,117,36,284,137,21,163,220,284,127",304
5544,"740,816,196,118,232,386,898,221,105,716","36,164,114,114,267,44,39,60,284,117",720
2914,"740,716,816,790,852,675,51,76,626,890","36,117,164,148,156,165,117,36,164,164",559
5496,"740,816,898,118,105,934,264,289,261,502","36,164,39,114,284,21,220,146,153,36",530
1138,"740,816,898,118,105,934,264,289,261,502","36,164,39,114,284,21,220,146,153,36",535
4419,"740,816,716,790,125,540,51,626,890,840","36,164,117,148,54,54,117,164,164,163",627
3276,"740,716,816,790,196,125,852,885,51,626","36,117,164,148,114,54,156,39,117,164",569
2918,"740,816,125,852,540,790,885,675,51,582","36,164,54,156,54,148,39,165,117,63",634
50,"852,51,76,737,840,520,298,642,844,300","156,117,36,137,163,127,126,195,21,153",304
1378,"740,816,898,118,105,934,264,289,261,502","36,164,39,114,284,21,220,146,153,36",588
1389,"740,816,196,118,386,105,934,261,502,66","36,164,114,114,44,284,21,153,36,129",618
4400,"740,716,198,885,582,398,890,311,662,901","36,117,148,39,63,270,164,155,130,127",654
565,"740,716,198,885,51,76,398,890,705,871","36,117,148,39,117,36,270,164,44,269",640
5627,"740,816,221,118,232,105,934,261,502,596","36,164,60,114,267,284,21,153,36,3",669
5456,"740,816,790,125,852,102,898,118,540,885","36,164,148,54,156,163,39,114,54,39",611
1362,"740,816,716,221,196,898,198,852,885,51","36,164,117,60,114,39,148,156,39,117",574
123,"740,816,790,125,852,675,51,76,885,626","36,164,148,54,156,165,117,36,39,164",466
3482,"740,816,790,898,754,118,105,934,264,289","36,164,148,39,155,114,284,21,220,146",547
1626,"740,816,196,118,386,105,934,261,502,596","36,164,114,114,44,284,21,153,36,3",540
6033,"740,816,196,118,232,105,934,261,502,66","36,164,114,114,267,284,21,153,36,129",661
5560,"740,816,196,118,386,105,934,264,289,412","36,164,114,114,44,284,21,220,146,284",616
4723,"740,816,898,118,105,934,264,261,502,596","36,164,39,114,284,21,220,153,36,3",498
1525,"740,816,125,885,51,582,76,626,398,675","36,164,54,39,117,63,36,164,270,165",600
3854,"740,816,790,125,852,540,885,675,51,76","36,164,148,54,156,54,39,165,117,36",544
184,"740,816,790,125,852,540,885,675,582,398","36,164,148,54,156,54,39,165,63,270",645
1025,"740,816,790,852,898,118,885,105,934,264","36,164,148,156,39,114,39,284,21,220",535
2100,"816,790,898,852,675,51,289,261,76,502","164,148,39,156,165,117,146,153,36,36",371
2034,"740,816,716,196,898,118,102,633,934,261","36,164,117,114,39,114,163,163,21,153",485
1554,"740,816,125,852,540,885,675,51,582,76","36,164,54,156,54,39,165,117,63,36",612
3938,"740,816,716,790,125,540,51,76,621,840","36,164,117,148,54,54,117,36,176,163",688
481,"740,716,816,196,852,898,118,105,934,264","36,117,164,114,156,39,114,284,21,220",463
3315,"740,816,221,898,754,118,790,852,885,675","36,164,60,39,155,114,148,156,39,165",541
966,"740,816,898,118,105,934,264,412,502,83","36,164,39,114,284,21,220,284,36,126",510
4238,"740,816,196,898,118,716,790,852,105,885","36,164,114,39,114,117,148,156,284,39",521
3693,"740,716,816,790,852,196,898,754,118,934","36,117,164,148,156,114,39,155,114,21",463
1674,"740,816,196,118,232,386,934,261,502,411","36,164,114,114,267,44,21,153,36,63",640
4328,"740,716,852,885,51,76,196,840,97,520","36,117,156,39,117,36,114,163,39,127",278
4352,"740,816,852,885,51,76,675,626,790,898","36,164,156,39,117,36,165,164,148,39",535
5529,"740,716,125,852,540,790,885,51,76,398","36,117,54,156,54,148,39,117,36,270",506
2677,"740,816,221,898,102,118,347,232,937,386","36,164,60,39,163,114,176,267,168,44",796
3486,"740,716,198,852,885,76,121,398,890,526","36,117,148,156,39,36,176,270,164,63",702
796,"740,816,898,118,386,168,790,125,852,540","36,164,39,114,44,165,148,54,156,54",635
2917,"740,816,898,118,790,125,105,852,934,540","36,164,39,114,148,54,284,156,21,54",519
2572,"852,754,51,76,105,737,840,520,934,642","156,155,117,36,284,137,163,127,21,195",275
4,"852,51,76,840,520,642,844,300,850,319","156,117,36,163,127,195,21,153,36,195",226
4277,"740,716,852,885,675,816,196,51,582,76","36,117,156,39,165,164,114,117,63,36",563
444,"740,716,125,885,51,76,626,890,69,840","36,117,54,39,117,36,164,164,3,163",526
6036,"740,716,852,885,51,76,790,398,69,737","36,117,156,39,117,36,148,270,3,137",493
2078,"740,816,898,754,118,105,934,264,289,261","36,164,39,155,114,284,21,220,146,153",516
2781,"740,716,852,885,51,76,675,626,790,816","36,117,156,39,117,36,165,164,148,164",555
1503,"740,816,852,885,675,51,626,890,520,871","36,164,156,39,165,117,164,164,127,269",553
2961,"740,816,221,790,125,898,754,118,232,386","36,164,60,148,54,39,155,114,267,44",678
2627,"740,716,125,885,51,76,398,890,705,642","36,117,54,39,117,36,270,164,44,195",689
1930,"740,816,716,196,898,118,852,885,675,105","36,164,117,114,39,114,156,39,165,284",471
2436,"740,716,198,885,51,626,840,705,844,525","36,117,148,39,117,164,163,44,21,3",300
4492,"740,816,790,125,852,898,118,540,105,885","36,164,148,54,156,39,114,54,284,39",531
4858,"740,816,716,790,125,540,51,626,890,840","36,164,117,148,54,54,117,164,164,163",594
1041,"740,816,125,885,582,398,840,298,844,877","36,164,54,39,63,270,163,126,21,202",669
987,"740,816,196,347,937,141,861,633,934,747","36,164,114,176,168,165,135,163,21,164",690
432,"740,816,790,125,852,540,885,675,898,118","36,164,148,54,156,54,39,165,39,114",507
