user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3652,"519,787,523,873,274,768,615,6,169,410","148,148,21,42,128,128,148,148,164,148",61
2479,"462,802,764,214,676,185,45,3,911,497","126,127,155,127,155,154,155,155,154,128",55
100,"377,221,618,901,780,523,281,439,383,482","155,60,44,127,128,21,155,153,189,164",80
983,"462,764,195,676,727,911,89,485,554,528","126,155,156,155,126,154,42,189,165,127",156
4540,"800,195,389,550,159,916,754,802,926,297","156,156,39,21,36,117,155,127,155,195",251
2057,"462,25,507,802,123,217,913,600,473,670","126,148,126,127,36,36,219,56,148,195",218
3468,"87,645,706,523,439,679,673,834,368,383","153,154,146,21,153,153,154,36,3,189",54
3507,"462,146,87,25,787,600,237,706,8,389","126,137,153,148,148,56,267,146,163,39",531
4412,"433,507,237,669,434,550,600,87,626,519","33,126,267,126,129,21,56,153,164,148",190
4932,"462,764,146,25,284,507,237,911,354,926","126,155,137,148,165,126,267,154,202,155",471
4249,"25,87,626,519,291,284,101,165,696,506","148,153,164,148,21,165,163,164,164,148",136
5784,"433,25,507,462,87,764,434,926,600,523","33,148,126,126,153,155,129,155,56,21",490
4245,"462,25,507,75,802,804,8,676,338,365","126,148,126,163,127,148,163,155,148,42",253
5424,"433,25,507,462,75,146,87,434,59,231","33,148,126,126,163,137,153,129,164,128",535
5730,"433,462,146,780,800,237,195,898,231,619","33,126,137,128,156,267,156,39,128,176",535
5481,"462,25,800,910,237,507,732,59,217,792","126,148,156,127,267,126,156,164,36,129",553
5488,"433,462,800,237,25,600,676,146,727,215","33,126,156,267,148,56,155,137,126,44",494
1380,"433,462,146,734,231,507,237,926,195,8","33,126,137,137,128,126,267,155,156,163",543
4511,"387,433,764,910,669,507,123,146,75,732","60,33,155,127,126,126,36,137,163,156",612
4183,"462,146,507,550,762,363,231,124,709,870","126,137,126,21,267,128,128,117,36,130",248
1653,"146,25,734,461,758,903,506,787,552,398","137,148,137,155,189,129,148,148,63,270",251
4086,"507,75,802,59,669,675,838,934,624,342","126,163,127,164,126,165,127,21,148,163",209
6127,"87,758,913,706,56,363,873,881,685,0","153,189,219,146,128,128,42,3,153,189",70
