user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3652,"830,840,767,6,768,475,563,165,522,304","148,163,148,148,128,148,154,164,148,164",61
2479,"736,547,106,83,463,497,520,484,638,45","155,155,128,126,155,128,127,127,154,155",55
100,"300,840,377,6,193,563,779,51,368,37","153,163,155,148,21,154,127,117,3,151",80
983,"736,852,502,370,69,83,129,47,768,551","155,156,36,195,3,126,165,127,128,195",156
4540,"736,300,740,898,547,118,170,859,97,463","155,153,36,39,155,114,39,33,39,155",251
2057,"898,790,502,526,196,492,170,255,66,97","39,148,36,63,114,127,39,36,129,39",218
3468,"300,840,6,51,76,563,55,491,27,677","153,163,148,117,36,154,146,146,175,156",54
3507,"736,626,547,300,740,898,790,261,118,526","155,164,155,153,36,39,148,153,114,63",531
4412,"626,264,740,880,830,118,526,106,83,47","164,220,36,146,148,114,63,128,126,127",190
4932,"736,852,547,626,300,898,790,502,370,69","155,156,155,164,153,39,148,36,195,3",471
4249,"790,880,596,69,233,170,675,92,716,830","148,146,3,3,3,39,165,148,117,148",136
5784,"736,852,264,547,626,300,740,898,790,502","155,156,220,155,164,153,36,39,148,36",490
4245,"736,790,502,596,370,233,255,69,675,844","155,148,36,3,195,3,36,3,165,21",253
5424,"852,626,300,898,790,261,502,264,547,880","156,164,153,39,148,153,36,220,155,146",535
5730,"852,300,740,671,502,861,69,830,196,568","156,153,36,174,36,135,3,148,114,169",535
5481,"852,626,740,547,790,502,880,596,370,69","156,164,36,155,148,36,146,3,195,3",553
5488,"736,852,626,898,261,502,596,370,830,196","155,156,164,39,153,36,3,195,148,114",494
1380,"736,852,626,898,261,596,69,840,816,767","155,156,164,39,153,3,3,163,164,148",543
4511,"736,852,300,740,626,582,261,502,547,596","155,156,153,36,164,63,153,36,155,3",612
4183,"300,898,69,840,289,106,83,514,317,750","153,39,3,163,146,128,126,219,137,219",248
1653,"582,790,261,880,125,816,129,767,317,510","63,148,153,146,54,164,165,148,137,125",251
4086,"626,261,596,69,830,840,289,816,83,767","164,153,3,3,148,163,146,164,126,148",209
6127,"880,943,105,704,768,494,819,525,927,55","146,3,284,220,128,148,3,3,284,146",70
552,"626,790,261,596,830,289,943,768,475,278","164,148,153,3,148,146,3,128,148,155",159
5430,"736,264,626,547,300,740,125,118,233,255","155,220,164,155,153,36,54,114,3,36",546
6014,"736,264,547,125,83,712,704,540,105,625","155,220,155,54,126,44,220,54,284,126",79
1543,"106,514,317,737,877,412,497,171,806,565","128,219,137,137,202,284,128,128,128,270",73
539,"736,852,582,547,626,261,502,830,233,492","155,156,63,155,164,153,36,148,3,127",464
2050,"736,547,502,596,370,255,463,844,754,311","155,155,36,3,195,36,155,21,155,155",128
4521,"740,502,370,840,118,859,551,781,795,884","36,36,195,163,114,33,195,39,156,44",71
2873,"736,852,264,547,626,125,118,526,233,492","155,156,220,155,164,54,114,63,3,127",477
1235,"736,852,264,547,626,300,740,898,261,502","155,156,220,155,164,153,36,39,153,36",494
4765,"736,547,790,880,830,92,165,522,55,53","155,155,148,146,148,148,164,148,146,148",71
1627,"736,547,596,69,233,97,830,277,187,359","155,155,3,3,3,39,148,220,33,267",141
2568,"736,547,740,118,502,859,97,463,844,187","155,155,36,114,36,33,39,155,21,33",183
1423,"736,898,264,547,790,261,880,69,289,675","155,39,220,155,148,153,146,3,146,165",260
6026,"852,596,69,830,816,129,943,513,389,278","156,3,3,148,164,165,3,148,39,155",145
3797,"582,740,898,671,502,370,196,570,118,526","63,36,39,174,36,195,114,117,114,63",357
1792,"736,626,300,740,898,547,790,261,880,118","155,164,153,36,39,155,148,153,146,114",343
3615,"300,790,261,840,289,106,83,584,514,872","153,148,153,163,146,128,126,117,219,267",306
3689,"510,330,754,278,631,650,288,723,177,681","125,300,155,155,44,155,125,44,156,125",58
5626,"69,233,463,311,494,278,292,145,449,0","3,3,155,155,148,155,148,156,165,189",105
5527,"898,69,584,233,513,116,97,497,686,207","39,3,117,3,148,128,39,128,36,127",92
3371,"736,852,582,547,740,502,370,69,196,125","155,156,63,155,36,36,195,3,114,54",357
2926,"582,861,478,125,892,526,578,340,232,756","63,135,135,54,175,63,163,181,267,58",283
4355,"736,852,102,547,626,300,118,526,35,233","155,156,163,155,164,153,114,63,163,3",586
985,"740,261,69,830,289,129,118,943,513,233","36,153,3,148,146,165,114,3,148,3",204
3184,"852,264,547,300,740,898,790,261,502,596","156,220,155,153,36,39,148,153,36,3",535
1994,"626,264,740,898,790,261,502,596,370,830","164,220,36,39,148,153,36,3,195,148",301
4306,"852,626,300,264,547,261,596,233,66,859","156,164,153,220,155,153,3,3,129,33",308
4717,"596,943,463,333,311,890,819,525,638,75","3,3,155,163,155,164,3,3,154,163",51
246,"300,880,289,767,92,193,76,475,494,326","153,146,146,148,148,21,36,148,148,146",88
2534,"736,547,300,118,526,170,859,463,716,754","155,155,153,114,63,39,33,155,117,155",127
2179,"736,852,626,547,300,740,118,233,170,255","155,156,164,155,153,36,114,3,39,36",352
4257,"370,830,233,816,129,255,463,844,650,103","195,148,3,164,165,36,155,21,155,156",105
3210,"736,852,264,547,300,125,526,492,66,859","155,156,220,155,153,54,63,127,129,33",544
3134,"736,852,626,261,880,370,830,196,289,816","155,156,164,153,146,195,148,114,146,164",417
780,"233,795,754,650,249,850,150,283,238,145","3,156,155,155,195,36,195,3,155,156",58
5754,"898,370,196,570,170,255,97,551,278,463","39,195,114,117,39,36,39,195,155,155",128
3735,"736,852,502,370,264,840,106,317,6,47","155,156,36,195,220,163,128,137,148,127",289
880,"736,852,626,790,547,596,196,255,66,570","155,156,164,148,155,3,114,36,129,117",259
5525,"300,880,830,196,170,570,795,76,494,193","153,146,148,114,39,117,156,36,148,21",131
4685,"852,626,261,69,830,233,492,840,675,463","156,164,153,3,148,3,127,163,165,155",206
4486,"736,852,626,300,740,898,790,502,596,264","155,156,164,153,36,39,148,36,3,220",519
5752,"1,117,680,526,35,83,747,47,34,625","172,169,172,63,163,126,164,127,156,126",53
3809,"740,196,233,570,170,389,781,38,650,754","36,114,3,117,39,39,39,114,155,155",58
5144,"626,740,898,502,880,170,255,859,675,105","164,36,39,36,146,39,36,33,165,284",233
4402,"264,898,840,83,514,526,6,750,47,704","220,39,163,126,219,63,148,219,127,220",237
5991,"626,740,898,264,880,118,233,492,170,255","164,36,39,220,146,114,3,127,39,36",351
574,"736,852,547,626,118,526,233,492,170,255","155,156,155,164,114,63,3,127,39,36",483
534,"626,740,898,502,880,370,69,196,570,83","164,36,39,36,146,195,3,114,117,126",312
633,"736,852,626,740,898,261,502,880,596,69","155,156,164,36,39,153,36,146,3,3",508
4056,"547,463,311,676,714,332,372,147,509,50","155,155,155,155,163,154,155,189,189,154",50
1430,"261,596,830,196,816,570,526,578,767,514","153,3,148,114,164,117,63,163,148,219",412
3962,"830,767,513,92,165,522,373,754,805,346","148,148,148,148,164,148,148,155,164,148",51
1133,"736,852,626,300,547,790,261,502,596,370","155,156,164,153,155,148,153,36,3,195",361
5148,"736,852,300,790,502,370,196,816,129,514","155,156,153,148,36,195,114,164,165,219",556
1013,"852,626,898,790,261,502,596,125,69,830","156,164,39,148,153,36,3,54,3,148",382
