user_id,seed,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,100,"376,154,616,469,342,816,626,16,369,785","164,164,163,163,163,164,164,164,163,163",531
5784,100,"753,59,154,469,157,75,405,290,349,816","164,164,164,163,163,163,154,3,127,164",490
5424,100,"451,284,626,505,535,826,840,469,88,133","163,165,164,163,164,164,164,163,163,164,163",535
5481,100,"753,260,211,616,86,75,714,829,344,505","164,163,163,163,164,163,163,163,163,163,164",553
4511,100,"284,616,190,211,65,369,634,16,574,816","165,163,163,164,163,163,163,163,164,164,164",612
5430,100,"284,626,391,190,688,616,367,742,290,785","165,164,163,163,164,164,163,165,164,3,163",546
2873,100,"896,417,616,8,169,369,469,157,367,829","165,165,163,163,164,163,163,163,165,163",477
1235,100,"896,86,574,154,190,469,342,16,8,88","165,164,164,164,163,164,163,163,164,163,164",494
4355,100,"896,665,342,626,169,574,98,826,35,486","165,164,163,164,164,164,164,164,163,164",586
3184,100,"896,376,451,276,59,344,75,574,688,405","165,164,163,155,164,163,163,164,164,154",535
2179,100,"451,417,342,505,169,101,435,133,333,486","163,165,163,163,164,164,163,165,163,163,164",352
3210,100,"284,133,391,101,369,535,486,696,805,469","165,163,163,163,163,164,164,164,164,163",544
4486,100,"376,753,86,829,65,16,449,785,290,213","164,164,164,163,163,164,165,163,3,163",519
633,100,"190,688,344,469,616,154,405,276,840,367","163,164,164,163,163,163,164,154,155,163,165",508
1430,100,"447,418,344,342,616,921,626,133,333,805","164,164,163,163,163,163,164,163,163,164",412
1133,100,"284,154,742,59,260,753,211,405,276,634","165,164,164,164,163,164,163,154,155,163",361
5148,100,"753,469,616,16,65,260,211,75,634,405","164,163,163,164,163,163,163,163,163,154",556
64,100,"133,342,449,367,157,154,65,634,696,52","163,163,165,165,163,164,163,163,164,163,164",494
5501,100,"451,626,829,157,634,785,59,75,816,169","163,164,163,163,163,163,164,163,164,164",463
1584,100,"451,342,86,133,59,154,65,840,405,574","163,163,164,163,164,164,163,163,154,164",413
3104,100,"223,133,469,211,190,714,16,101,35,417","165,163,163,163,163,164,163,164,163,163,165",363
729,100,"376,133,154,86,284,616,88,574,290,101","164,163,164,164,165,163,164,164,3,163",346
4554,100,"376,451,505,574,8,169,52,101,826,449","164,163,163,164,164,163,164,163,164,163,164,165",569
2626,100,"451,535,154,157,829,742,367,211,816,88","163,164,164,163,163,164,165,163,164,164",628
2261,100,"284,163,65,154,276,616,190,539,182,80","165,163,163,164,155,163,163,164,148,153,155",641
5528,100,"896,626,284,8,133,616,921,165,785,75","165,164,165,163,163,163,163,164,163,163",553
5711,100,"896,505,574,535,554,826,616,190,840,435","165,163,164,164,164,165,164,163,163,164,163,165",553
2466,100,"376,211,65,714,505,449,213,634,816,391","164,163,163,163,163,164,165,163,163,164,163",375
145,100,"451,417,190,367,554,75,16,829,486,59","163,165,163,164,165,165,163,164,163,164,164",500
5860,100,"505,342,260,154,65,59,574,211,369,435","163,164,163,163,164,163,164,164,163,163,165",354
5493,100,"896,417,626,8,369,391,165,505,554,304","165,165,164,163,163,163,164,163,164,165,164",544
3202,100,"896,376,451,276,59,702,469,86,211,190","165,164,163,155,164,176,163,164,163,163,164",669
541,100,"284,417,753,391,101,165,449,75,369,840","165,165,164,163,163,164,165,163,163,163",528
2883,100,"223,100,417,284,688,742,367,189,753,524","165,165,165,165,164,164,165,165,164,165",389
1595,100,"451,626,391,574,829,688,921,165,535,344","163,164,163,164,163,164,163,164,164,163",500
4837,100,"451,417,284,469,714,75,16,405,276,101","163,165,165,163,163,163,164,154,155,163",464
5610,100,"451,190,626,574,921,449,101,486,840,16","163,163,164,164,164,163,165,163,164,163,164",653
66,100,"896,451,367,344,211,276,405,182,495,251","165,163,165,163,163,155,154,153,156,129",653
5436,100,"451,190,753,574,157,86,829,367,417,213","163,163,164,164,164,163,164,163,165,165,163",547
2737,100,"896,344,65,16,714,133,829,574,634,367","165,163,163,164,163,163,163,164,163,165",535
573,100,"376,505,921,8,753,16,86,903,59,688","164,163,164,163,163,164,164,164,129,164,164",547
1670,100,"376,417,688,168,753,284,616,190,395,449","164,165,164,165,164,165,163,163,164,165,165",644
5744,100,"896,163,344,133,417,342,98,169,840,356","165,163,163,163,165,163,164,164,163,164",586
1223,100,"376,342,451,344,574,742,417,435,369,211","164,163,163,163,164,164,165,165,163,163",400
376,100,"451,505,86,190,469,65,157,921,165,816","163,163,164,164,163,164,163,163,163,163,164,164",412
2837,100,"451,417,284,8,101,391,505,449,367,890","163,165,165,163,163,163,163,164,165,165,164",538
2931,100,"223,896,742,59,86,260,666,133,336,469","165,165,164,164,164,163,175,163,176,163",461
1374,100,"284,417,626,344,65,260,16,75,101,574","165,165,164,163,163,163,164,163,163,164",553
