user_id,seed,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,100,"452,137,677,160,368,379,789,638,474,332","146,39,156,39,3,39,156,154,3,154",251
3507,100,"683,923,417,184,193,368,438,342,677,485","127,195,165,36,21,3,3,163,156,189",531
4932,100,"683,452,811,383,539,405,710,731,406,867","127,146,3,189,148,154,127,219,127,155",471
5784,100,"683,452,184,539,190,383,710,405,406,314","127,146,36,148,163,164,189,127,154,127,155",490
5424,100,"683,923,811,907,184,731,383,37,190,209","127,195,3,219,36,219,189,151,163,164,155",535
5481,100,"683,923,705,781,130,193,368,789,178,438","127,195,44,39,63,21,3,156,155,3",553
4511,100,"683,452,811,383,867,884,441,363,349,406","127,146,3,189,155,44,117,128,127,127",612
5430,100,"683,923,203,677,417,193,638,368,497,438","127,195,125,156,165,21,154,3,128,3",546
2873,100,"452,638,923,184,677,417,438,332,130,513","146,154,195,36,156,165,3,154,63,148",477
1235,100,"452,923,312,533,383,363,714,190,379,614","146,195,148,39,189,128,163,163,164,39,3",494
4355,100,"683,923,705,781,789,379,417,193,368,547","127,195,44,39,156,39,165,21,3,155",586
3184,100,"683,923,811,907,248,383,410,37,190,731","127,195,3,219,148,189,148,151,163,164,219",535
2179,100,"452,638,923,184,677,547,342,438,417,332","146,154,195,36,156,155,163,3,165,154",352
3210,100,"683,923,417,193,368,474,130,246,379,769","127,195,165,21,3,3,63,54,39,155",544
3735,100,"683,923,193,368,677,638,738,497,379,105","127,195,21,3,156,154,155,128,39,284",289
4486,100,"683,923,417,184,193,485,368,290,342,379","127,195,165,36,21,189,3,3,163,39",519
574,100,"683,923,417,193,368,474,130,638,379,332","127,195,165,21,3,3,63,154,39,154",483
633,100,"683,452,184,539,190,383,629,770,314,923","127,146,36,148,163,164,189,148,129,155,195",508
1133,100,"452,638,923,383,614,533,527,312,59,742","146,154,195,189,3,39,155,148,164,164",361
5148,100,"683,452,811,383,539,405,59,312,731,742","127,146,3,189,148,154,164,148,219,164",556
64,100,"683,923,417,184,485,553,37,811,539,133","127,195,165,36,189,117,151,3,148,163",494
5501,100,"683,923,417,193,368,474,342,497,379,212","127,195,165,21,3,3,163,128,39,148",463
