user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3652,"49,51,53,56,92,93,212,236,259,265","128,117,148,128,148,148,148,56,148,128",61
2479,"3,45,47,50,83,134,143,171,178,185","155,155,127,154,126,155,155,128,155,154",55
100,"6,23,27,37,51,67,76,193,198,221","148,125,175,151,117,61,36,21,148,60",80
983,"2,24,34,40,46,47,49,50,56,69","3,156,156,156,3,156,127,128,154,128,3",156
4540,"2,3,6,11,18,24,29,30,31,34","3,156,155,148,156,156,156,156,21,156,156",251
2057,"12,20,25,30,39,44,49,54,64,66","284,219,148,21,128,127,128,33,56,129",218
3468,"6,26,27,29,37,51,55,79,87,193","148,153,175,156,151,117,146,155,153,21",54
3507,"0,3,6,10,11,14,18,19,22,24","189,155,148,202,156,137,156,3,189,156",531
4412,"4,20,26,38,39,44,47,49,75,696","56,219,153,114,128,127,127,128,163,164",190
4932,"3,10,11,14,18,19,23,24,25,27","155,202,156,137,156,3,125,156,148,175",471
4249,"19,25,39,40,53,56,69,84,87,92","3,148,128,3,148,128,3,128,153,148",136
5784,"0,2,3,165,6,11,13,14,18,19","189,3,156,155,164,148,156,44,137,156,3",490
4245,"0,22,25,39,40,44,47,49,129,816","189,189,148,128,3,127,127,128,165,164",253
5424,"0,2,3,4,6,10,12,165,14,19","189,3,156,155,56,148,202,284,164,137,3",535
5730,"3,6,10,11,14,21,27,30,31,34","155,148,202,156,137,169,175,21,156,156",535
5481,"0,2,3,10,14,18,19,22,23,29","189,3,156,155,202,137,156,3,189,125,156",553
5488,"2,3,4,5,6,9,10,165,11,19","3,156,155,56,44,148,44,202,164,156,3",494
1380,"0,2,3,165,4,5,6,9,10,18","189,3,156,155,164,56,44,148,44,202,156",543
4511,"0,2,3,6,10,17,165,18,22,24","189,3,156,155,148,202,60,164,156,189,156",612
4183,"10,14,27,29,37,39,40,49,51,54","202,137,175,156,151,128,3,128,117,33",248
1653,"0,5,10,13,14,19,22,25,165,36","189,44,202,44,137,3,189,148,164,44",251
4086,"0,6,165,19,22,44,45,46,47,88","189,148,164,3,189,127,155,156,127,164",209
6127,"0,12,19,20,22,39,49,55,56,78","189,284,3,219,189,128,128,146,128,219",70
552,"0,19,165,22,25,27,37,39,75,449","189,3,164,189,148,175,151,128,163,165",159
5430,"0,2,3,4,5,6,9,165,10,11","189,3,156,155,56,44,148,44,164,202,156",546
6014,"12,13,20,46,47,50,71,78,83,89","284,44,219,156,127,154,156,219,126,42",79
1543,"10,14,44,64,95,106,116,130,155,162","202,137,127,56,137,128,128,63,284,202",73
539,"0,2,6,10,17,19,22,23,24,29","189,3,156,148,202,60,3,189,125,156,156",464
2050,"0,3,19,22,25,39,45,49,50,56","189,155,3,189,148,128,155,128,154,128",128
4521,"11,18,30,31,38,41,90,118,119,142","156,156,21,156,114,44,36,114,36,36",71
2873,"0,2,4,6,10,11,12,88,13,18","189,3,156,56,148,202,156,284,164,44,156",477
1235,"0,2,3,5,165,9,11,12,19,22","189,3,156,155,44,164,44,156,284,3,189",494
4765,"50,53,55,87,93,143,165,178,199,212","154,148,146,153,148,155,164,155,155,148",71
1627,"3,19,40,50,63,69,85,110,124,134","155,3,3,154,269,3,56,267,117,155",141
2568,"3,27,30,45,49,54,56,76,80,82","155,175,21,155,128,33,128,36,155,195",183
1423,"0,14,20,25,26,39,40,44,46,47","189,137,219,148,153,128,3,127,156,127",260
6026,"2,24,34,38,40,46,53,80,90,103","3,156,156,156,114,3,156,148,155,36,156",145
3797,"3,6,17,18,27,30,31,39,44,45","155,148,60,156,175,21,156,128,127,155",357
1792,"0,3,26,27,30,37,40,45,46,47","189,155,153,175,21,151,3,155,156,127",343
3615,"0,6,10,14,25,27,29,37,47,54","189,148,202,137,148,175,156,151,127,33",306
3689,"5,9,36,41,74,80,111,161,172,177","44,44,44,44,44,155,155,156,44,156",58
5626,"3,11,18,22,25,26,40,55,69,80","155,156,156,189,148,153,3,146,3,155",105
5527,"31,40,44,54,69,97,106,122,123,145","156,3,127,33,3,39,128,36,36,156",92
3371,"3,12,13,20,24,30,34,38,39,40","155,284,44,219,156,21,156,114,128,3",357
2926,"5,9,13,17,578,23,141,41,48,58","44,44,44,60,163,125,165,44,60,169",283
4355,"0,2,3,6,10,102,11,14,18,840","189,3,156,155,148,202,163,156,137,156,163",586
985,"0,2,3,19,34,38,46,50,53,88","189,3,156,155,3,156,114,156,154,148,164",204
3184,"3,4,6,10,11,12,13,14,22,24","155,56,148,202,156,284,44,137,189,156",535
1994,"0,4,12,19,20,22,26,38,39,44","189,56,284,3,219,189,153,114,128,127",301
4306,"0,2,4,12,19,20,22,25,129,27","189,3,156,56,284,3,219,189,148,165,175",308
4717,"3,19,45,134,147,185,209,327,337,372","155,3,155,155,189,154,155,148,155,155",51
246,"0,22,25,26,27,37,72,165,76,87","189,189,148,153,175,151,146,164,36,153",88
2534,"3,14,27,45,50,64,76,85,106,118","155,137,175,155,154,56,36,56,128,114",127
2179,"0,2,3,6,11,18,19,22,24,29","189,3,156,155,148,156,156,3,189,156,156",352
4257,"2,3,24,30,40,45,53,69,88,103","3,156,155,156,21,3,155,148,3,164,156",105
3210,"2,3,4,6,12,13,18,19,129,840","3,156,155,56,148,284,44,156,3,165,163",544
3134,"0,4,11,17,18,19,22,88,24,26","189,56,156,60,156,3,189,164,156,153",417
780,"11,18,31,46,69,71,82,138,145,150","156,156,156,156,3,156,195,195,156,195",58
5754,"3,11,18,30,45,80,82,91,111,120","155,156,156,21,155,155,195,195,155,36",128
3735,"3,11,12,18,20,27,29,31,34,37","155,156,284,156,219,175,156,156,156,151",289
880,"2,3,4,165,14,19,24,25,27,30","3,156,155,56,164,137,3,156,148,175,21",259
5525,"0,11,18,22,26,53,55,80,82,111","189,156,156,189,153,148,146,155,195,155",131
4685,"0,2,165,3,6,11,18,19,22,24","189,3,156,164,155,148,156,156,3,189,156",206
4486,"2,3,4,6,10,11,13,14,18,19","3,156,155,56,148,202,156,44,137,156,3",519
5752,"2,24,34,83,89,103,117,186,204,235","3,156,156,156,126,42,156,169,156,267,269",53
3809,"38,40,46,69,71,90,118,148,152,161","114,3,156,3,156,36,114,36,117,156",58
5144,"4,12,19,20,26,30,38,39,40,44","56,284,3,219,153,21,114,128,3,127",233
4402,"4,12,14,20,39,41,44,47,49,54","56,284,137,219,128,44,127,127,128,33",237
5991,"0,19,22,25,26,38,39,40,44,47","189,3,189,148,153,114,128,3,127,127",351
574,"0,2,3,6,10,19,22,24,27,29","189,3,156,155,148,202,3,189,156,175,156",483
534,"0,4,12,19,20,22,25,26,30,38","189,56,284,3,219,189,148,153,21,114",312
633,"2,3,6,10,11,14,18,19,22,24","3,156,155,148,202,156,137,156,3,189,156",508
