user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"291,152,727,800,145,656,855,71,436,457","21,117,126,156,156,3,42,156,156,156",251
3507,"291,711,376,152,44,182,394,199,764,727","21,129,164,117,127,153,127,155,155,126",531
4932,"874,800,415,855,71,39,394,457,306,163","58,156,54,42,156,128,127,156,267,163",471
5784,"376,732,394,182,691,92,39,64,199,744","164,156,127,153,153,148,128,56,155,148",490
5424,"711,679,376,732,691,279,656,682,420,503","129,153,164,156,153,33,3,220,153,153",535
5481,"874,679,711,855,218,415,391,163,279,39","58,153,129,42,56,54,163,163,33,128",553
4511,"291,874,3,711,457,182,163,306,92,800","21,58,155,129,156,153,163,267,148,156",612
5430,"711,9,47,376,737,39,686,656,795,641","129,44,127,164,137,128,36,3,156,202",546
2873,"711,800,376,891,389,39,828,394,761,611","129,156,164,267,39,128,189,127,127,39",477
1235,"711,800,9,376,389,39,436,761,364,50","129,156,44,164,39,128,156,127,56,154",494
4355,"874,679,140,711,848,732,743,279,218,391","58,153,176,129,44,156,163,164,33,56,163",586
3184,"711,800,376,712,44,420,457,803,727,732","129,156,164,44,127,153,156,148,126,156",535
2179,"291,376,800,152,691,372,182,436,93,745","21,164,156,117,153,155,153,156,148,3",352
3210,"711,800,376,891,182,394,828,672,145,712","129,156,164,267,153,127,189,136,156,44",544
3735,"711,800,376,920,436,761,497,855,528,737","129,156,164,128,156,127,128,42,127,137",289
4486,"711,800,376,891,389,682,199,828,727,150","129,156,164,267,39,220,155,189,126,195",519
574,"291,711,803,691,152,218,376,855,891,47","21,129,148,153,117,56,164,42,267,127",483
633,"711,800,376,199,727,926,71,394,279,745","129,156,164,155,126,155,156,127,33,3",508
1133,"376,800,199,744,926,391,91,389,672,436","164,156,155,148,155,163,195,39,136,156",361
5148,"291,711,376,712,732,152,529,727,279,677","21,129,164,44,156,117,155,126,33,156",556
64,"291,376,800,152,3,39,891,732,725,740","21,164,156,117,155,128,267,156,202,36",494
5501,"291,152,39,727,800,71,855,394,926,45","21,117,128,126,156,156,42,127,155,155",463
1584,"376,732,394,182,691,92,39,764,825,610","164,156,127,153,153,148,128,155,148,39",413
729,"376,800,3,686,165,91,803,436,640,744","164,156,155,36,164,195,148,156,148,148",346
3759,"291,152,803,691,376,800,533,170,941,47","21,117,148,153,164,156,39,39,154,127",437
3009,"291,711,199,891,152,376,800,9,828,218","21,129,155,267,117,164,156,44,189,56",516
4554,"874,711,415,163,376,391,359,800,697,436","58,129,54,163,164,163,267,156,60,156",569
2626,"874,679,3,711,163,66,926,279,457,855","58,153,155,129,163,129,155,33,156,42",628
2261,"291,874,152,711,415,727,737,848,376,806","21,58,117,129,54,126,137,44,164,128",641
3610,"291,874,712,732,415,218,376,279,691,69","21,58,44,156,54,56,164,33,153,3",600
5528,"874,711,163,800,44,359,691,376,891,727","58,129,163,156,127,267,153,164,267,126",553
5711,"874,679,3,711,218,457,855,798,165,279","58,153,155,129,56,156,42,153,164,33",553
2930,"291,376,800,152,3,682,727,529,71,517","21,164,156,117,155,220,126,155,156,155",293
145,"291,152,803,234,376,47,3,691,855,93","21,117,148,155,164,127,155,153,42,148",500
5860,"376,732,803,279,420,457,926,182,691,436","164,156,148,33,153,156,155,153,153,156",354
5493,"711,800,376,891,234,3,920,672,828,761","129,156,164,267,155,155,128,136,189,127",544
1509,"291,163,114,800,140,711,848,415,718,544","21,163,175,156,176,129,44,54,62,174",594
3202,"291,874,3,376,712,732,140,743,725,92","21,58,155,164,44,156,176,163,164,202,148",669
541,"711,800,376,891,306,682,394,828,761,389","129,156,164,267,267,220,127,189,127,39",528
1595,"711,800,376,891,3,682,394,91,234,686","129,156,164,267,155,220,127,195,155,36",500
4837,"376,732,394,182,691,39,64,279,656,420","164,156,127,153,153,128,56,33,3,153",464
5610,"874,679,711,855,218,74,9,718,457,306","58,153,129,42,56,44,44,62,156,267",653
66,"874,711,163,9,800,376,44,907,712,631","58,129,163,44,156,164,127,219,44,44",653
4215,"291,376,800,152,682,727,39,855,891,732","21,164,156,117,220,126,128,42,267,156",415
5436,"711,800,199,891,376,828,672,679,234,394","129,156,155,267,164,189,136,153,155,127",547
2737,"711,679,376,732,803,798,907,737,855,391","129,153,164,156,148,153,219,137,42,163",535
573,"711,800,376,891,725,66,682,224,727,389","129,156,164,267,202,129,220,61,126,39",547
1670,"874,944,60,732,855,218,457,3,376,39","58,165,189,156,42,56,156,155,164,128",644
5744,"874,711,163,800,44,359,140,376,891,727","58,129,163,156,127,267,176,164,267,126",586
1223,"376,800,855,39,727,686,740,91,691,92","164,156,42,128,126,36,36,195,153,148",400
2837,"291,711,376,686,3,737,152,691,218,279","21,129,164,36,155,137,117,153,56,33",538
5167,"291,711,376,712,732,279,391,218,798,182","21,129,164,44,156,33,163,56,153,153",557
1374,"874,711,415,163,376,391,800,725,182,150","58,129,54,163,164,163,156,202,153,195",553
2938,"711,800,376,727,182,891,394,732,306,66","129,156,164,126,153,267,127,156,267,129",535
4883,"291,711,415,848,926,705,737,306,579,672","21,129,54,44,155,44,137,267,39,136",531
1715,"291,711,737,672,47,579,727,656,64,907","21,129,137,136,127,39,126,3,56,219",378
1563,"711,376,737,39,803,91,389,855,533,686","129,164,137,128,148,195,39,42,39,36",519
3981,"711,679,376,732,803,798,391,279,795,700","129,153,164,156,148,153,163,33,156,219",520
1993,"711,800,376,712,732,487,169,803,182,529","129,156,164,44,156,138,164,148,153,155",540
4228,"291,711,800,152,394,828,145,672,656,44","21,129,156,117,127,189,156,136,3,127",549
3557,"711,800,376,234,3,920,761,737,941,497","129,156,164,155,155,128,127,137,154,128",304
449,"291,711,376,712,732,764,218,279,926,907","21,129,164,44,156,155,56,33,155,219",541
944,"376,800,679,855,691,533,150,279,436,212","164,156,153,42,153,39,195,33,156,148",447
3243,"874,711,163,800,44,376,891,761,744,359","58,129,163,156,127,164,267,127,148,267",553
889,"711,800,376,891,3,66,855,93,71,218","129,156,164,267,155,129,42,148,156,56",519
3540,"711,800,199,891,376,828,672,394,727,679","129,156,155,267,164,189,136,127,126,153",553
4748,"9,732,376,727,855,891,744,74,528,91","44,156,164,126,42,267,148,44,127,195",521
3532,"711,800,376,891,436,359,92,920,47,855","129,156,164,267,156,267,148,128,127,42",528
1764,"291,711,803,737,152,47,700,376,91,150","21,129,148,137,117,127,219,164,195,195",541
1614,"711,9,47,376,737,39,691,150,279,218","129,44,127,164,137,128,153,195,33,56",571
5452,"711,800,376,891,3,199,727,529,372,855","129,156,164,267,155,155,126,155,155,42",519
5139,"291,152,803,691,376,800,533,170,941,47","21,117,148,153,164,156,39,39,154,127",472
2840,"376,800,855,727,71,91,686,738,333,389","164,156,42,126,156,195,36,155,163,39",355
2905,"291,711,376,712,732,182,152,691,725,279","21,129,164,44,156,153,117,153,202,33",628
1294,"291,711,376,800,152,891,725,182,218,394","21,129,164,156,117,267,202,153,56,127",570
2101,"9,47,691,279,712,855,436,70,39,656","44,127,153,33,44,42,156,61,128,3",574
5250,"376,732,182,691,92,457,803,420,686,825","164,156,153,153,148,156,148,153,36,148",338
2710,"711,800,376,727,182,891,394,732,218,66","129,156,164,126,153,267,127,156,56,129",520
3446,"711,800,376,891,234,920,487,92,672,727","129,156,164,267,155,128,138,148,136,126",519
1057,"291,711,376,800,891,152,745,740,539,840","21,129,164,156,267,117,3,36,148,163",543
185,"114,874,679,140,743,163,333,39,855,718","175,58,153,176,163,164,163,163,128,42,62",720
622,"711,800,376,891,234,394,679,39,732,672","129,156,164,267,155,127,153,128,156,136",535
2367,"376,800,199,679,92,941,691,686,436,285","164,156,155,153,148,154,153,36,156,148",398
5110,"291,376,732,152,3,457,727,529,855,436","21,164,156,117,155,156,126,155,42,156",349
5210,"711,376,737,39,803,306,682,941,150,533","129,164,137,128,148,267,220,154,195,39",523
2654,"291,711,199,891,152,828,394,800,727,355","21,129,155,267,117,189,127,156,126,63",541
5074,"874,711,415,691,376,727,503,732,533,941","58,129,54,153,164,126,153,156,39,154",553
4457,"291,874,152,711,415,727,9,718,737,848","21,58,117,129,54,126,44,62,137,44",690
1462,"711,800,376,891,529,920,436,761,92,855","129,156,164,267,155,128,156,127,148,42",554
1213,"291,874,711,800,697,218,487,64,457,436","21,58,129,156,60,56,138,56,156,156",644
1506,"291,874,3,712,457,718,891,800,682,376","21,58,155,44,156,62,267,156,220,164",388
1010,"291,376,800,3,234,152,529,182,372,764","21,164,156,155,155,117,155,153,155,155",270
1760,"711,800,9,376,712,279,218,71,44,611","129,156,44,164,44,33,56,156,127,39",600
1298,"711,679,376,855,391,686,640,682,488,803","129,153,164,42,163,36,148,220,129,148",430
3549,"291,874,712,732,415,376,745,218,436,725","21,58,44,156,54,164,3,56,156,202",633
5694,"711,415,718,691,848,92,165,74,679,391","129,54,62,153,44,148,164,44,153,163",606
3791,"291,874,3,376,800,711,679,855,686,39","21,58,155,164,156,129,153,42,36,128",639
4216,"874,711,163,800,44,376,891,529,359,92","58,129,163,156,127,164,267,155,267,148",553
1837,"711,800,376,712,727,891,3,803,66,457","129,156,164,44,126,267,155,148,129,156",499
2380,"711,800,376,891,389,39,672,691,218,727","129,156,164,267,39,128,136,153,56,126",535
2786,"291,163,874,152,9,718,376,711,744,855","21,163,58,117,44,62,164,129,148,42",691
3513,"9,732,376,727,800,855,71,91,682,199","44,156,164,126,156,42,156,195,220,155",523
3166,"874,711,800,71,218,891,855,436,457,394","58,129,156,156,56,267,42,156,156,127",472
111,"711,800,376,891,9,744,855,359,727,487","129,156,164,267,44,148,42,267,126,138",598
4671,"874,711,415,163,376,391,800,234,359,182","58,129,54,163,164,163,156,155,267,153",553
1507,"711,800,9,376,712,279,691,907,394,66","129,156,44,164,44,33,153,219,127,129",634
3266,"9,47,691,279,855,529,533,39,71,436","44,127,153,33,42,155,39,128,156,156",579
3187,"376,800,855,727,71,745,165,199,686,740","164,156,42,126,156,3,164,155,36,36",374
5211,"291,711,376,712,732,152,394,877,44,914","21,129,164,44,156,117,127,202,127,128",541
2831,"9,732,679,306,394,744,682,376,712,150","44,156,153,267,127,148,220,164,44,195",513
2347,"291,711,376,152,44,727,732,877,575,394","21,129,164,117,127,126,156,202,61,127",555
5507,"711,376,737,39,803,234,91,389,855,533","129,164,137,128,148,155,195,39,42,39",519
5195,"711,800,376,727,682,394,71,920,677,907","129,156,164,126,220,127,156,128,156,219",304
5544,"291,874,152,711,44,727,163,800,682,884","21,58,117,129,127,126,163,156,220,44",720
2914,"291,711,376,712,152,9,182,744,457,732","21,129,164,44,117,44,153,148,156,156",559
5496,"711,800,376,44,732,394,64,182,691,727","129,156,164,127,156,127,56,153,153,126",530
1138,"711,800,376,44,732,394,656,3,218,457","129,156,164,127,156,127,3,155,56,156",535
4419,"291,711,944,60,39,737,803,679,691,92","21,129,165,189,128,137,148,153,153,148",627
3276,"291,711,679,803,691,855,737,376,39,533","21,129,153,148,153,42,137,164,128,39",569
2918,"711,800,697,3,275,182,576,487,372,761","129,156,60,155,56,153,63,138,155,127",634
50,"711,376,737,39,732,855,91,436,50,47","129,164,137,128,156,42,195,156,154,127",304
1378,"711,800,9,3,376,712,279,907,691,394","129,156,44,155,164,44,33,219,153,127",588
1389,"291,711,376,800,9,152,891,39,677,582","21,129,164,156,44,117,267,128,156,63",618
4400,"291,711,415,679,803,9,700,855,737,691","21,129,54,153,148,44,219,42,137,153",654
565,"291,874,711,800,376,891,725,182,306,152","21,58,129,156,164,267,202,153,267,117",640
5627,"874,711,163,9,800,376,891,224,682,761","58,129,163,44,156,164,267,61,220,127",669
5456,"711,544,140,800,891,376,697,828,793,145","129,174,176,156,267,164,60,189,176,156",611
1362,"291,874,711,800,376,218,457,487,71,394","21,58,129,156,164,56,156,138,156,127",574
123,"376,712,727,457,682,394,800,44,487,656","164,44,126,156,220,127,156,127,138,3",466
3482,"711,800,376,891,389,682,828,727,601,679","129,156,164,267,39,220,189,126,148,153",547
1626,"291,711,800,152,727,39,631,389,778,91","21,129,156,117,126,128,44,39,54,195",540
6033,"291,874,712,711,9,376,182,457,487,727","21,58,44,129,44,164,153,156,138,126",661
5560,"291,711,415,848,376,712,64,727,737,795","21,129,54,44,164,44,56,126,137,156",616
4723,"711,800,199,376,672,679,218,457,436,855","129,156,155,164,136,153,56,156,156,42",498
1525,"711,800,9,376,712,279,691,926,656,576","129,156,44,164,44,33,153,155,3,63",600
3854,"711,800,376,891,3,682,727,199,750,452","129,156,164,267,155,220,126,155,219,146",544
184,"711,163,800,9,891,376,306,682,718,761","129,163,156,44,267,164,267,220,62,127",645
1025,"711,679,376,732,803,798,907,737,855,391","129,153,164,156,148,153,219,137,42,163",535
2100,"376,800,3,679,686,165,91,803,640,691","164,156,155,153,36,164,195,148,148,153",371
2034,"291,376,800,152,3,727,677,199,140,793","21,164,156,117,155,126,156,155,176,176",485
1554,"711,800,376,891,9,744,855,359,727,517","129,156,164,267,44,148,42,267,126,155",612
3938,"291,544,152,711,114,800,727,394,400,828","21,174,117,129,175,156,126,127,175,189",688
481,"291,376,732,152,182,691,279,64,718,3","21,164,156,117,153,153,33,56,62,155",463
3315,"874,679,3,376,855,711,800,163,218,436","58,153,155,164,42,129,156,163,56,156",541
966,"711,800,376,199,71,732,389,727,64,907","129,156,164,155,156,156,39,126,56,219",510
4238,"291,711,376,800,152,3,682,677,727,39","21,129,164,156,117,155,220,156,126,128",521
3693,"291,376,800,3,497,152,92,39,182,840","21,164,156,155,128,117,148,128,153,163",463
1674,"291,163,874,576,855,711,71,39,487,415","21,163,58,63,42,129,156,128,138,54",640
4328,"291,152,39,3,727,71,732,394,800,677","21,117,128,155,126,156,156,127,156,156",278
4352,"711,679,376,855,737,686,39,732,436,682","129,153,164,42,137,36,128,156,156,220",535
5529,"291,711,679,855,750,725,306,682,691,376","21,129,153,42,219,202,267,220,153,164",506
2677,"114,874,679,712,140,633,743,691,92,66","175,58,153,44,176,163,163,164,153,148,129",796
3486,"291,163,140,800,359,306,718,874,743,679","21,163,176,156,267,267,62,58,163,164,153",702
796,"711,800,697,394,359,70,575,9,234,182","129,156,60,127,267,61,61,44,155,153",635
2917,"711,800,376,891,436,92,855,920,47,745","129,156,164,267,156,148,42,128,127,3",519
2572,"376,800,855,3,682,941,66,39,150,737","164,156,42,155,220,154,129,128,195,137",275
4,"376,732,727,907,457,436,682,71,855,145","164,156,126,219,156,156,220,156,42,156",226
4277,"291,711,415,848,691,732,718,737,182,39","21,129,54,44,153,156,62,137,153,128",563
444,"291,711,800,152,66,71,279,732,795,700","21,129,156,117,129,156,33,156,156,219",526
6036,"291,711,376,686,152,39,737,182,306,727","21,129,164,36,117,128,137,153,267,126",493
2078,"711,800,376,891,855,66,71,436,92,93","129,156,164,267,42,129,156,156,148,148",516
2781,"291,711,800,152,727,891,39,828,3,737","21,129,156,117,126,267,128,189,155,137",555
1503,"874,711,415,163,376,391,800,725,92,691","58,129,54,163,164,163,156,202,148,153",553
2961,"874,679,712,697,389,415,182,163,855,737","58,153,44,60,39,54,153,163,42,137",678
2627,"291,114,140,544,711,725,420,273,712,732","21,175,176,174,129,202,153,61,44,156",689
1930,"291,152,803,376,800,234,691,610,750,941","21,117,148,164,156,155,153,39,219,154",471
2436,"291,163,874,152,803,71,415,848,563,91","21,163,58,117,148,156,54,44,154,195",300
4492,"711,800,376,712,732,487,279,831,3,727","129,156,164,44,156,138,33,155,155,126",531
4858,"291,711,199,891,152,803,926,359,66,47","21,129,155,267,117,148,155,267,129,127",594
1041,"874,679,711,855,218,737,803,415,92,691","58,153,129,42,56,137,148,54,148,153",669
987,"291,874,114,743,633,64,711,182,163,333","21,58,175,163,164,163,56,129,153,163,163",690
432,"711,800,376,891,855,66,727,39,71,732","129,156,164,267,42,129,126,128,156,156",507
6147,"711,800,9,3,682,376,66,372,761,601","129,156,44,155,220,164,129,155,127,148",576
870,"291,711,199,152,376,800,218,436,394,47","21,129,155,117,164,156,56,156,127,127",427
4088,"376,800,891,682,686,394,732,727,297,39","164,156,267,220,36,127,156,126,195,128",479
5126,"711,800,376,727,39,855,672,805,610,740","129,156,164,126,128,42,136,164,39,36",498
464,"291,711,376,712,152,3,44,727,677,64","21,129,164,44,117,155,127,126,156,56",608
4325,"711,9,47,691,279,218,855,745,803,579","129,44,127,153,33,56,42,3,148,39",571
2618,"291,711,800,152,727,71,682,750,907,394","21,129,156,117,126,156,220,219,219,127",586
