user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,"855,662,197,781,389,111,282,667,337,248","42,130,148,39,39,155,156,56,155,148",531
5784,"855,197,6,644,255,850,625,111,577,612","42,148,148,148,36,36,126,155,284,220",490
5424,"855,662,255,838,530,6,581,776,111,577","42,130,36,127,284,148,146,267,155,284",535
5481,"855,662,255,838,77,921,581,492,776,90","42,130,36,127,117,163,146,127,267,36",553
4511,"855,662,255,62,667,6,526,470,111,178","42,130,36,61,56,148,63,61,155,155",612
5430,"855,662,197,6,907,850,195,111,612,364","42,130,148,148,219,36,156,155,220,56",546
2873,"855,662,921,781,111,129,195,644,732,292","42,130,163,39,155,165,156,148,156,148",477
1235,"855,781,6,197,288,667,337,748,248,292","42,39,148,148,125,56,155,267,148,148",494
4355,"855,662,255,667,781,748,197,581,922,111","42,130,36,56,39,267,148,146,154,155",586
3184,"855,197,644,577,90,732,748,922,749,69","42,148,148,284,36,156,267,154,3,3",535
2179,"197,6,255,195,90,134,644,69,402,732","148,148,36,156,36,155,148,3,155,156",352
3210,"855,662,255,530,197,748,667,742,492,781","42,130,36,284,148,267,56,164,127,39",544
4486,"855,662,921,781,111,197,389,129,530,363","42,130,163,39,155,148,39,165,284,128",519
633,"855,197,644,6,519,781,195,22,255,846","42,148,148,148,148,39,156,189,36,56",508
1430,"855,662,197,667,288,595,917,492,932,519","42,130,148,56,125,60,60,127,148,148",412
1133,"197,6,644,195,69,248,255,850,554,282","148,148,148,156,3,148,36,36,165,156",361
5148,"855,662,255,530,6,526,667,69,197,907","42,130,36,284,148,63,56,3,148,219",556
64,"855,662,255,6,781,907,850,530,446,749","42,130,36,148,39,219,36,284,3,3",494
5501,"855,921,781,111,492,519,732,90,612,282","42,163,39,155,127,148,156,36,220,156",463
1584,"855,197,644,749,111,255,282,337,392,819","42,148,148,3,155,36,156,155,39,3",413
3104,"595,257,917,732,726,195,111,282,252,390","60,146,60,156,217,156,155,156,154,60",363
729,"197,781,644,6,69,248,850,134,255,3","148,39,148,148,3,148,36,155,36,155",346
4554,"855,662,255,667,197,526,470,69,77,781","42,130,36,56,148,63,61,3,117,39",569
2626,"855,662,197,781,389,530,282,749,292,577","42,130,148,39,39,284,156,3,148,284",628
2261,"855,595,732,644,6,777,69,195,781,390","42,60,156,148,148,44,3,156,39,60",641
5528,"855,197,6,748,625,922,732,662,781,519","42,148,148,267,126,154,156,130,39,148",553
5711,"855,921,644,6,732,781,748,195,111,492","42,163,148,148,156,39,267,156,155,127",553
2466,"855,781,111,282,90,292,134,749,850,195","42,39,155,156,36,148,155,3,36,156",375
145,"855,662,197,781,907,389,248,644,530,252","42,130,148,39,219,39,148,148,284,154",500
5860,"197,6,255,195,781,922,90,525,732,22","148,148,36,156,39,154,36,3,156,189",354
5493,"855,662,255,530,197,748,667,922,526,69","42,130,36,284,148,267,56,154,63,3",544
3202,"855,662,255,838,77,748,492,777,526,850","42,130,36,127,117,267,127,44,63,36",669
541,"855,662,197,781,389,701,111,612,282,90","42,130,148,39,39,54,155,220,156,36",528
2883,"855,781,6,69,644,140,579,404,893,134","42,39,148,3,148,176,39,114,169,155",389
1595,"855,781,6,907,667,197,69,644,40,525","42,39,148,219,56,148,3,148,3,3",500
4837,"855,197,6,644,255,850,625,111,69,248","42,148,148,148,36,36,126,155,3,148",464
5610,"855,662,62,197,389,248,288,292,358,748","42,130,61,148,39,148,125,148,60,267",653
66,"855,921,644,6,777,195,781,69,248,431","42,163,148,148,44,156,39,3,148,44",653
5436,"855,662,255,838,530,6,581,776,111,577","42,130,36,127,284,148,146,267,155,284",547
2737,"855,197,644,6,519,732,282,195,337,402","42,148,148,148,148,156,156,156,155,155",535
573,"855,662,255,62,197,748,6,581,292,880","42,130,36,61,148,267,148,146,148,146",547
1670,"855,662,62,197,389,69,288,748,644,577","42,130,61,148,39,3,125,267,148,284",644
5744,"855,662,197,6,748,255,90,134,292,140","42,130,148,148,267,36,36,155,148,176",586
1223,"855,781,111,282,581,178,850,732,255,195","42,39,155,156,146,155,36,156,36,156",400
376,"855,781,530,90,111,178,492,732,282,6","42,39,284,36,155,155,127,156,156,148",412
2837,"855,662,197,781,389,111,667,337,850,178","42,130,148,39,39,155,56,155,36,155",538
2931,"855,921,781,197,257,667,69,644,577,926","42,163,39,148,146,56,3,148,284,155",461
1374,"855,662,255,838,781,6,526,667,248,579","42,130,36,127,39,148,63,56,148,39",553
2938,"855,197,644,577,255,781,850,625,846,282","42,148,148,284,36,39,36,126,56,156",535
1563,"855,662,197,6,748,255,90,134,292,69","42,130,148,148,267,36,36,155,148,3",519
3981,"855,921,644,197,255,625,662,577,781,364","42,163,148,148,36,126,130,284,39,56",520
1993,"855,197,6,748,732,195,742,519,282,625","42,148,148,267,156,156,164,148,156,126",540
4228,"855,781,530,111,492,736,197,880,195,749","42,39,284,155,127,155,148,146,156,3",549
934,"855,662,255,62,197,667,526,69,530,749","42,130,36,61,148,56,63,3,284,3",577
449,"855,662,197,6,748,255,282,492,781,111","42,130,148,148,267,36,156,127,39,155",541
944,"855,781,530,111,492,129,736,850,389,178","42,39,284,155,127,165,155,36,39,155",447
3243,"855,662,255,667,781,748,581,838,921,742","42,130,36,56,39,267,146,127,163,164",553
889,"855,662,255,838,530,921,492,111,781,736","42,130,36,127,284,163,127,155,39,155",519
3540,"855,662,197,781,389,701,748,644,749,577","42,130,148,39,39,54,267,148,3,284",553
2861,"855,781,111,492,90,519,282,248,255,644","42,39,155,127,36,148,156,148,36,148",412
4748,"855,62,781,530,111,492,736,282,519,644","42,61,39,284,155,127,155,156,148,148",521
3532,"855,662,197,6,748,255,90,134,292,69","42,130,148,148,267,36,36,155,148,3",528
1764,"855,662,921,197,748,6,292,177,195,90","42,130,163,148,267,148,148,156,156,36",541
1614,"855,197,6,748,625,255,90,195,261,781","42,148,148,267,126,36,36,156,153,39",571
5452,"855,921,644,197,577,90,293,248,781,662","42,163,148,148,284,36,3,148,39,130",519
5139,"855,781,530,111,492,736,282,519,749,567","42,39,284,155,127,155,156,148,3,126",472
2840,"855,781,111,282,732,255,69,644,195,292","42,39,155,156,156,36,3,148,156,148",355
2905,"855,662,255,838,6,69,776,248,380,748","42,130,36,127,148,3,267,148,137,267",628
