user_id,seed,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,100,"683,37,677,255,802,923,770,370,740,79","127,151,156,36,127,195,129,195,36,155",531
5784,100,"683,539,811,491,406,867,178,907,501,312","127,148,3,146,127,155,155,219,127,148",490
5424,100,"683,37,731,421,923,789,636,451,497,452","127,151,219,195,195,156,56,163,128,146",535
5481,100,"683,37,677,63,891,605,555,255,811,745","127,151,156,269,267,155,33,36,3,3",553
4511,100,"683,539,811,710,466,489,898,248,30,290","127,148,3,127,42,269,39,148,21,3",612
5430,100,"683,37,677,63,76,770,502,433,626,11","127,151,156,269,36,129,36,33,164,156",546
2873,100,"923,770,834,30,79,789,169,887,193,119","195,129,36,21,155,156,164,3,21,36",477
1235,100,"923,312,508,811,488,533,368,637,80,37","195,148,219,3,129,39,3,155,155,151",494
4355,100,"683,37,677,443,42,342,63,500,663,163","127,151,156,176,176,163,269,155,176,163",586
3184,100,"683,37,731,312,636,406,452,492,372,328","127,151,219,148,56,127,146,127,155,39",535
2179,100,"923,37,887,502,79,30,572,291,794,342","195,151,3,36,155,21,39,21,39,163",352
3210,100,"683,37,677,770,79,30,71,500,161,605","127,151,156,129,155,21,156,155,156,155",544
4486,100,"683,37,677,255,802,923,105,770,370,740","127,151,156,36,127,195,284,129,195,36",519
633,100,"683,539,811,710,923,770,526,290,160,898","127,148,3,127,195,129,63,3,39,39",508
1430,100,"683,891,794,30,789,409,288,255,525,203","127,267,39,21,156,195,125,36,3,125",412
1133,100,"923,312,813,539,629,867,742,614,791,457","195,148,154,148,148,155,164,3,189,156",361
5148,100,"683,539,312,396,815,480,791,907,295,690","127,148,148,267,126,148,189,219,127,219",556
64,100,"683,37,421,502,406,3,629,885,867,209","127,151,195,36,127,155,148,39,155,155",494
5501,100,"683,37,677,30,79,626,555,11,385,161","127,151,156,21,155,164,33,156,39,156",463
1584,100,"923,312,813,539,295,629,907,480,363,452","195,148,154,148,127,148,219,148,128,146",413
3104,100,"340,223,312,702,3,703,512,209,199,779","181,165,148,176,155,181,169,155,155,127",363
729,100,"923,312,811,80,154,533,529,673,178,791","195,148,3,155,164,39,155,154,155,189",346
4554,100,"683,37,677,63,891,605,555,500,255,30","127,151,156,269,267,155,33,155,36,21",569
2626,100,"683,37,731,421,157,638,891,430,502,889","127,151,219,195,163,154,267,44,36,148",628
2261,100,"683,539,811,491,406,867,178,791,804,529","127,148,3,146,127,155,155,189,148,155",641
5528,100,"683,37,677,63,891,605,161,500,800,555","127,151,156,269,267,155,156,155,156,33",553
5711,100,"683,37,677,63,76,433,30,642,359,555","127,151,156,269,36,33,21,195,267,33",553
2466,100,"923,37,887,533,502,79,834,572,291,119","195,151,3,39,36,155,36,39,21,36",375
145,100,"683,37,677,770,79,30,834,657,433,385","127,151,156,129,155,21,36,56,33,39",500
5860,100,"923,312,813,539,629,480,178,457,791,452","195,148,154,148,148,148,155,156,189,146",354
5493,100,"683,37,677,417,255,105,770,555,370,525","127,151,156,165,36,284,129,33,195,3",544
3202,100,"683,539,312,396,43,336,252,815,200,31","127,148,148,267,163,176,154,126,54,156",669
541,100,"683,539,811,710,923,406,508,529,721,501","127,148,3,127,195,127,219,155,219,127",528
2883,100,"100,223,312,42,98,673,811,452,742,138","165,165,148,176,164,154,3,146,164,195",389
1595,100,"923,770,328,375,363,37,657,502,853,766","195,129,39,54,128,151,56,36,44,54,284",500
4837,100,"683,539,312,791,566,480,295,907,815,931","127,148,148,189,146,148,127,219,126,56",464
5610,100,"683,539,811,710,466,375,923,489,770,321","127,148,3,127,42,54,195,269,129,127",653
66,100,"683,539,811,491,406,452,501,907,466,756","127,148,3,146,127,146,127,219,42,58",653
5436,100,"683,539,811,491,406,867,178,907,312,452","127,148,3,146,127,155,155,219,148,146",547
2737,100,"683,539,811,710,923,406,867,529,178,690","127,148,3,127,195,127,155,155,155,219",535
573,100,"923,312,811,488,600,492,80,717,105,525","195,148,3,129,56,127,155,195,284,3",547
1670,100,"683,37,677,63,76,770,923,502,834,891","127,151,156,269,36,129,195,36,36,267",644
5744,100,"683,37,677,443,63,42,342,500,555,605","127,151,156,176,269,176,163,155,33,155",586
1223,100,"923,37,887,502,417,30,551,745,342,376","195,151,3,36,165,21,195,3,163,164",400
