user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3652,"535,39,56,830,840,563,889,480,394,295","128,163,164,148,154,127",61
2479,"484,638,547,736,214,729,528,599,83,106","128,154,155,126,127",55
100,"839,532,232,156,205,300,51,6,910,482","3,164,267,44,148,117,153,219,127,63",80
983,"183,785,402,736,520,815,539,809,394,295","163,148,155,126,127",156
4540,"11,119,678,297,732,335,325,423,148,589","155,156,36,195",251
2057,"600,261,484,916,858,187,30,844,570,815","33,21,117,56,153,126,127",218
3468,"55,834,880,300,51,535,6,474,555,545","33,3,164,36,39,146,148,117,153",54
3507,"494,267,55,11,638,38,526,433,448,119","33,3,36,269,146,114,148,154,156,63",531
4412,"600,484,675,433,53,626,750,520,522,742","33,164,165,148,56,219,127",190
4932,"604,554,38,177,934,386,852,877,785,267","163,165,202,44,269,114,21,156",471
4249,"55,297,39,587,887,868,49,749,335,583","128,3,195,36,146",136
5784,"617,678,380,732,545,474,326,638,808,274","128,3,39,137,146,148,154,155,156",490
4245,"617,261,53,289,736,626,513,475,819,298","3,164,146,148,153,155,126",253
5424,"617,261,554,494,11,484,187,177,662,449","33,130,165,148,153,156,127",535
5730,"604,141,38,747,116,274,111,440,231,625","128,164,165,136,269,114,155,126",535
5481,"604,267,55,489,617,119,341,297,732,85","195,36,269,146,148,56,156",553
5488,"494,261,554,203,448,183,484,916,177,51","3,165,148,117,153,155,156,125,127",494
1380,"604,267,380,732,555,609,55,489,638,880","33,137,269,146,56,154,156",543
4511,"604,267,119,489,232,38,386,872,676,672","36,136,267,44,269,114,155",612
4183,"604,261,489,806,877,51,274,672,700,683","128,136,202,269,117,153,219,127",248
1653,"604,261,288,662,872,304,490,440,457,438","130,3,164,136,267,269,153,156,125",251
4086,"494,261,53,129,520,742,634,828,815,3","163,164,165,148,153,155,189,126,127",209
6127,"494,55,448,39,49,583,0,664,766,84","128,3,146,148,284,189",70
552,"617,261,53,890,475,790,274,376,742,634","128,163,164,148,153",159
5430,"604,267,609,732,862,434,913,500,46,856","129,195,39,155,269,56,219,156",546
6014,"540,754,836,547,736,712,125,83,105,238","39,44,54,155,284,126",79
1543,"838,806,877,737,298,207,492,514,216,277","128,137,202,42,219,220,126,127",73
539,"604,261,554,232,177,51,304,440,672,742","164,165,136,267,269,117,153,156",464
2050,"494,484,448,638,30,678,446,39,887,49","128,3,148,21,154,155,127",128
4521,"11,145,433,785,38,453,836,116,707,421","128,33,163,195,39,114,156",71
2873,"494,554,183,11,448,267,609,732,545,474","3,165,39,269,148,56,155,156",477
1235,"604,267,55,617,638,38,526,433,494,119","33,36,269,146,114,148,154,63",494
4765,"55,53,640,624,87,932,599,92,547,736","153,146,155,148",71
1627,"604,359,187,53,736,830,750,392,97,779","33,39,267,269,219,148,155,127",141
2568,"183,119,39,862,84,439,599,605,611,142","128,195,36,39,153,155",183
1423,"494,261,289,177,736,449,639,672,742,634","163,164,165,136,146,148,153,155,156",260
6026,"617,119,887,325,327,2,8,361,749,587","3,163,36,148,155,156",145
3797,"552,267,353,91,545,85,265,862,167,234","128,195,39,267,269,56,155,63",357
1792,"617,261,554,494,297,491,325,385,263,0","195,165,39,146,148,153,156,189",343
3615,"604,261,187,355,662,51,449,520,292,283","33,130,3,165,269,148,117,153,127,63",306
3689,"203,183,288,833,573,746,430,242,161,500","156,155,44,125",58
5626,"494,183,638,880,292,111,634,312,3,679","163,146,148,153,154,155",105
5527,"617,838,669,587,187,850,171,116,492,835","128,33,3,36,39,148,126,127",92
3371,"489,119,341,11,638,852,750,676,742,59","36,164,155,269,56,154,219,156",357
2926,"604,267,476,126,167,470,543,146,641,762","165,137,202,267,269,54,60,61",283
4355,"604,267,476,793,423,46,500,856,93,661","39,269,176,148,284,54,155,156",586
985,"617,326,887,732,945,587,494,554,638,402","3,165,146,148,154,155,156",204
3184,"617,261,38,736,650,639,742,634,828,815","163,164,114,148,153,155,189,126",535
1994,"494,484,600,448,297,491,226,148,856,661","3,195,36,39,146,148,56,284,127",301
4306,"617,261,554,494,446,587,265,664,148,46","128,3,36,165,148,153,156",308
4717,"446,887,583,45,101,638,890,819,463,333","3,164,163,154,155",51
246,"494,55,326,261,834,880,449,22,202,634","163,36,165,146,148,153,189",88
2534,"341,678,545,204,385,291,230,439,586,599","39,137,267,114,21,56,153,155",127
2179,"617,119,474,732,545,123,325,423,159,18","3,36,39,148,156",352
4257,"678,638,34,53,177,830,283,457,3,480","3,148,154,155,156",105
3210,"617,267,380,862,423,46,856,661,439,599","195,39,137,269,148,284,153,155,156",544
3134,"617,261,38,808,872,449,304,211,742,828","163,164,165,39,267,114,148,153,189",417
780,"678,145,850,297,219,177,233,754,650,436","3,36,195,155,156",58
5754,"11,183,145,858,934,30,836,658,850,319","195,36,39,21,155,156",128
3735,"11,183,484,638,145,935,341,945,664,913","128,129,219,56,154,155,156,127",289
880,"448,183,935,600,678,91,446,587,887,609","129,3,195,56,155",259
5525,"617,183,11,916,145,494,858,55,297,491","195,146,148,21,117,155,156",131
4685,"494,261,554,638,675,183,448,145,53,233","3,165,148,153,154,155,156",206
