user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
4540,"898,795,716,51,844,502,255,740,642,836","39,156,117,117,21,36,36,36,195,39",251
3507,"69,898,513,626,88,737,819,844,502,277","3,39,148,164,164,137,3,21,36,220",531
4932,"69,898,513,795,626,51,255,88,193,83","3,39,148,156,164,117,36,164,21,126",471
5784,"69,795,898,51,255,513,66,193,83,449","3,156,39,117,36,148,129,21,126,165",490
5424,"69,795,51,255,66,193,83,449,412,475","3,156,117,36,129,21,126,165,284,148",535
5481,"69,898,513,626,88,819,844,502,277,298","3,39,148,164,164,3,21,36,220,126",553
4511,"69,795,716,51,255,193,83,576,898,449","3,156,117,117,36,21,126,63,39,165",612
5430,"69,898,513,795,626,88,737,819,844,502","3,39,148,156,164,164,137,3,21,36",546
2873,"69,795,51,255,66,193,83,449,898,475","3,156,117,36,129,21,126,165,39,148",477
1235,"69,795,51,255,898,513,193,83,626,88","3,156,117,36,39,148,21,126,164,164",494
4355,"69,898,513,626,88,665,819,844,277,816","3,39,148,164,164,164,3,21,220,164",586
3184,"69,795,51,255,898,513,66,193,83,626","3,156,117,36,39,148,129,21,126,164",535
2179,"69,898,513,795,716,51,255,626,88,819","3,39,148,156,117,117,36,164,164,3",352
3210,"69,898,513,626,88,737,819,844,277,816","3,39,148,164,164,137,3,21,220,164",544
3735,"795,51,255,737,844,502,298,642,836,770","156,117,36,137,21,36,126,195,39,129",289
4486,"69,795,51,255,66,193,83,898,449,412","3,156,117,36,129,21,126,39,165,284",519
574,"69,898,513,626,88,819,844,502,277,816","3,39,148,164,164,3,21,36,220,164",483
633,"69,795,51,255,898,66,193,83,449,412","3,156,117,36,39,129,21,126,165,284",508
1133,"69,795,51,255,898,193,449,475,333,790","3,156,117,36,39,21,165,148,163,148",361
5148,"69,795,898,716,51,255,66,193,83,449","3,156,39,117,117,36,129,21,126,165",556
64,"69,898,513,795,716,626,88,737,819,844","3,39,148,156,117,164,164,137,3,21",494
5501,"69,898,513,626,88,819,844,502,277,816","3,39,148,164,164,3,21,36,220,164",463
1584,"69,898,513,795,51,255,193,83,626,449","3,39,148,156,117,36,21,126,164,165",413
729,"69,795,51,255,898,193,513,449,475,333","3,156,117,36,39,21,148,165,148,163",346
3759,"69,898,513,626,88,819,844,502,277,816","3,39,148,164,164,3,21,36,220,164",437
3009,"69,898,795,88,737,819,844,502,298,816","3,39,156,164,137,3,21,36,126,164",516
4554,"69,898,513,795,626,88,819,844,502,277","3,39,148,156,164,164,3,21,36,220",569
2626,"69,795,51,255,66,193,83,449,412,898","3,156,117,36,129,21,126,165,284,39",628
2261,"69,898,513,795,716,51,255,626,88,737","3,39,148,156,117,117,36,164,164,137",641
3610,"69,795,898,716,513,255,626,88,819,844","3,156,39,117,148,36,164,164,3,21",600
5528,"69,898,513,795,626,88,819,844,502,277","3,39,148,156,164,164,3,21,36,220",553
5711,"69,898,513,795,626,88,51,819,844,502","3,39,148,156,164,164,117,3,21,36",553
2930,"898,795,716,51,255,844,502,740,642,836","39,156,117,117,36,21,36,36,195,39",293
145,"69,795,716,51,255,66,193,83,449,898","3,156,117,117,36,129,21,126,165,39",500
5860,"69,795,51,255,898,513,626,88,819,844","3,156,117,36,39,148,164,164,3,21",354
5493,"69,898,513,795,51,255,66,193,83,449","3,39,148,156,117,36,129,21,126,165",544
1509,"796,69,724,898,513,88,621,665,277,816","181,3,176,39,148,164,176,164,220,164",594
3202,"69,795,716,255,898,193,83,576,449,412","3,156,117,36,39,21,126,63,165,284",669
541,"69,898,513,626,88,737,819,844,277,816","3,39,148,164,164,137,3,21,220,164",528
1595,"69,898,513,795,51,255,66,193,83,626","3,39,148,156,117,36,129,21,126,164",500
4837,"69,795,898,513,51,255,626,88,66,193","3,156,39,148,117,36,164,164,129,21",464
5610,"69,795,898,51,255,513,66,626,88,737","3,156,39,117,36,148,129,164,164,137",653
66,"69,795,51,255,66,193,83,576,449,412","3,156,117,36,129,21,126,63,165,284",653
