user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3652,"51,475,563,56,840,767,830,92,165,304","117,148,154,128,163,148,148,148,164,164",61
2479,"83,311,463,547,520,106,736,638,497,50","126,155,155,155,127,128,155,154,128,154",55
100,"51,193,532,232,198,563,6,221,901,76","117,21,219,267,148,154,148,60,127,36",80
983,"69,255,83,88,844,502,650,520,642,836","3,36,126,164,21,36,155,127,195,39",156
4540,"795,716,898,255,51,844,502,311,740,836","156,117,39,36,117,21,36,155,36,39",251
2057,"716,255,898,66,83,844,277,412,116,105","117,36,39,129,126,21,220,284,128,284",218
3468,"193,26,563,76,6,300,880,706,834,685","21,153,154,36,148,153,146,146,36,153",54
3507,"255,51,898,513,737,626,88,819,844,277","36,117,39,148,137,164,164,3,21,220",531
4412,"626,83,277,298,412,740,770,26,116,105","164,126,220,126,284,36,129,153,128,284",190
4932,"898,513,626,193,819,844,277,705,740,333","39,148,164,21,3,21,220,44,36,163",471
4249,"69,626,819,475,26,333,525,392,830,92","3,164,3,148,153,163,3,39,148,148",136
5784,"795,255,898,51,513,193,66,449,412,475","156,36,39,117,148,21,129,165,284,148",490
4245,"69,255,513,626,88,844,502,83,642,525","3,36,148,164,164,21,36,126,195,3",253
5424,"51,898,513,737,626,88,844,277,298,502","117,39,148,137,164,164,21,220,126,36",535
5730,"796,69,795,716,861,255,898,513,737,665","181,3,156,117,135,36,39,148,137,164",535
5481,"69,795,51,513,626,88,193,819,277,298","3,156,117,148,164,164,21,3,220,126",553
5488,"69,795,716,255,66,83,449,475,26,105","3,156,117,36,129,126,165,148,153,284",494
1380,"69,795,716,255,51,898,83,513,449,88","3,156,117,36,117,39,126,148,165,164",543
4511,"69,795,255,898,193,513,83,576,737,449","3,156,36,39,21,148,126,63,137,165",612
4183,"69,51,898,193,83,116,277,298,563,392","3,117,39,21,126,128,220,126,154,39",248
1653,"513,737,819,449,475,26,816,790,596,650","148,137,3,165,148,153,164,148,3,155",251
4086,"69,51,626,88,83,816,449,475,836,333","3,117,164,164,126,164,165,148,39,163",209
6127,"449,26,105,56,880,943,264,494,274,704","165,153,284,128,146,3,220,148,128,220",70
552,"513,626,819,790,596,525,56,72,278,767","148,164,3,148,3,3,128,146,155,148",159
5430,"69,795,255,737,626,88,844,277,816,311","3,156,36,137,164,164,21,220,164,155",546
6014,"83,105,836,125,712,547,540,736,238,264","126,284,39,54,44,155,54,155,155,220",79
1543,"737,298,412,116,750,877,207,171,106,776","137,126,284,128,219,202,127,128,128,267",73
539,"69,255,513,737,626,88,449,412,844,277","3,36,148,137,164,164,165,284,21,220",464
2050,"255,83,819,844,502,449,311,642,836,463","36,126,3,21,36,165,155,195,39,155",128
4521,"255,844,502,116,642,118,840,859,389,319","36,21,36,128,195,114,163,33,39,195",71
2873,"69,795,255,51,193,66,83,898,513,737","3,156,36,117,21,129,126,39,148,137",477
1235,"795,255,51,898,513,193,737,83,626,819","156,36,117,39,148,21,137,126,164,3",494
4765,"475,547,767,736,830,92,292,880,706,165","148,155,148,155,148,148,148,146,146,164",71
1627,"819,412,311,750,596,463,525,547,392,736","3,284,155,219,3,155,3,155,39,155",141
2568,"255,898,193,83,740,642,836,118,463,56","36,39,21,126,36,195,39,114,155,128",183
1423,"69,88,83,298,449,26,116,790,547,650","3,164,126,126,165,153,128,148,155,155",260
6026,"69,513,819,740,650,118,859,278,435,283","3,148,3,36,155,114,33,155,165,3",145
