user_id,sampled_q_ids,sampled_subject_ids,student_total_questions
3507,"183,638,889,923,572,185,279,325,472,410","155,154,148,195,39,154,33,156,148,148",531
5784,"78,889,638,749,672,22,628,410,514,59","219,148,154,3,136,189,155,148,219,164",490
5424,"78,889,638,749,628,410,527,729,789,923","219,148,154,3,155,148,155,128,156,195",535
5481,"375,638,672,729,410,527,749,789,778,22","54,154,136,128,148,155,3,156,54,189",553
4511,"375,378,638,410,681,235,174,776,406,344","54,58,154,148,125,269,267,267,127,163",612
5430,"78,183,497,527,729,410,638,749,94,22","219,155,128,155,128,148,154,3,137,189",546
2873,"78,183,889,410,766,527,638,384,749,409","219,155,148,148,284,155,154,267,3,195",477
1235,"78,183,638,721,829,766,889,555,410,785","219,155,154,219,163,284,148,33,148,163",494
4355,"375,638,183,889,325,555,667,497,672,217","54,154,155,148,156,33,56,128,136,36",586
3184,"78,183,497,889,410,766,721,672,934,171","219,155,128,148,148,284,219,136,21,128",535
2179,"183,889,572,638,749,291,325,449,22,527","155,148,39,154,3,21,156,165,189,155",352
3210,"78,183,497,527,729,410,638,889,721,749","219,155,128,155,128,148,154,148,219,3",544
4486,"78,183,449,22,638,889,923,59,721,785","219,155,165,189,154,148,195,164,219,163",519
633,"183,889,497,749,923,628,279,472,325,233","155,148,128,3,195,155,33,148,156,3",508
1430,"183,889,572,325,923,721,497,595,171,539","155,148,39,156,195,219,128,60,128,148",412
1133,"183,638,22,672,410,749,889,527,59,493","155,154,189,136,148,3,148,155,164,156",361
5148,"78,889,410,672,766,183,235,776,628,700","219,148,148,136,284,155,269,267,155,219",556
64,"78,183,497,527,729,449,555,171,889,923","219,155,128,155,128,165,33,128,148,195",494
5501,"183,449,638,291,721,325,101,365,171,472","155,165,154,21,219,156,163,42,128,148",463
1584,"78,889,410,766,59,628,912,555,282,47","219,148,148,284,164,155,3,33,156,127",413
3104,"183,449,638,22,374,410,749,481,208,73","155,165,154,189,170,148,3,168,169,176",363
729,"183,638,22,410,59,672,749,889,439,177","155,154,189,148,164,136,3,148,153,156",346
4554,"375,638,183,889,325,555,667,469,233,174","54,154,155,148,156,33,56,163,3,267",569
2626,"375,766,183,638,721,365,555,889,22,469","54,284,155,154,219,42,33,148,189,163",628
2261,"375,889,410,183,171,829,555,174,185,561","54,148,148,155,128,163,33,267,154,63",641
5528,"375,638,183,889,325,555,667,497,672,217","54,154,155,148,156,33,56,128,136,36",553
5711,"375,449,638,183,174,325,721,410,365,934","54,165,154,155,267,156,219,148,42,21",553
